mode,run,seed,hft_frac,n_ticks,shock_tick,shock_dp,speed_multiplier,vstar_postshock,calendar_post_volume,total_executed_volume,total_executed_trades,post_rv,pre_rv,post_rv_per_volume,post_rv_per_trade,post_vol_per_sqrt_volume,equal_volume_vol_ratio,post_window_volume,pre_window_volume,post_window_trades,pre_window_trades,post_window_ticks,pre_window_ticks,target_post_volume,post_volume_error,calendar_style_vol_ratio,spread_ratio,mm_stress_ratio,avg_sub_iters,threshold_hit_rate,book_depleted_rate
calendar,31,3100231,0.0,500,200,-10,2,,4226.0,6761.0,2141.0,0.2236466264986166,0.0525987015866965,5.314796257096402e-05,0.0001712455026788,0.0004220890386319,2.5614715679244036,4208.0,2535.0,1306.0,830.0,299,200,4226.0,-18.0,1.4654395906669946,1.6415226535897889,1.0,1.0,1.0,0.0
event_time,31,3100231,0.0,500,200,-10,2,14.0,4226.0,10719.0,3625.0,0.0468696041052006,0.0935753887879392,1.1085526041911231e-05,3.186240931692773e-05,0.0002324500832677,0.5015861087588243,4228.0,4234.0,1471.0,1320.0,206,186,4226.0,2.0,0.7515057004091793,0.9844117680858304,1.0,1.746,1.0,0.0
calendar,32,3200231,0.0,500,200,-10,2,,4156.0,7073.0,2219.0,0.2057601691112305,0.0134670058511988,4.962859843493259e-05,0.0001612540510276,0.0004078725358268,10.749723574588574,4146.0,2917.0,1276.0,938.0,299,199,4156.0,-10.0,4.105132096454624,6.078750010420476,0.96,1.0,1.0,0.0
event_time,32,3200231,0.0,500,200,-10,2,14.0,4156.0,10432.0,3738.0,0.0283124009529691,0.0374617989383025,6.7458663218892425e-06,1.8614333302412327e-05,0.0001842354421056,0.7494646094991697,4197.0,4162.0,1521.0,1479.0,199,198,4156.0,41.0,1.2674509242655043,1.2350958919577617,1.0,1.884,1.0,0.0
calendar,33,3300231,0.0,500,200,-10,2,,4023.0,6341.0,2110.0,0.1142400297835469,0.0218297360037562,2.8403786619479595e-05,9.124603017855186e-05,0.0003084478465959,3.016068100016362,4022.0,2318.0,1252.0,857.0,299,200,4023.0,-1.0,2.5432194334747016,2.197258432250879,1.0,1.0,1.0,0.0
event_time,33,3300231,0.0,500,200,-10,2,13.0,4023.0,10223.0,3452.0,0.2589891026593778,0.0142514338317573,6.426528601969672e-05,0.0002090307527517,0.0005780844340343,18.177349572731256,4030.0,4031.0,1239.0,1407.0,193,193,4023.0,7.0,3.85518300528475,4.828649195225958,0.91,1.57,1.0,0.0
calendar,34,3400231,0.0,500,200,-10,2,,4001.0,8494.0,2339.0,0.0281641792373992,0.0169041596042125,7.044567092896257e-06,2.2388059807153607e-05,0.0001536922601261,1.6694428914006243,3998.0,4006.0,1258.0,924.0,299,165,4001.0,-3.0,1.3869962215744394,2.119917475385629,0.6466666666666666,1.0,1.0,0.0
event_time,34,3400231,0.0,500,200,-10,2,13.0,4001.0,9958.0,3397.0,0.0327445264848565,0.0467498414035294,8.18204060091368e-06,2.2691979545985137e-05,0.0001972663182937,0.7061955716644437,4002.0,4035.0,1443.0,1360.0,210,198,4001.0,1.0,1.096993952734758,1.222809547166,1.0,1.802,1.0,0.0
calendar,35,3500231,0.0,500,200,-10,2,,3917.0,6841.0,2222.0,0.2579224142891471,0.0170351876695431,6.606619218472007e-05,0.0002083379760009,0.0004703984156641,11.33991104398572,3904.0,2924.0,1238.0,978.0,299,200,3917.0,-13.0,3.161622691286813,4.041918010268165,0.8866666666666667,1.0,1.0,0.0
event_time,35,3500231,0.0,500,200,-10,2,13.0,3917.0,9807.0,3463.0,0.0610926546712515,0.0218559441072742,1.5521507792492783e-05,4.6387740828588906e-05,0.0002827295864417,2.744109117985576,3936.0,3864.0,1317.0,1448.0,195,200,3917.0,19.0,1.7111427398996124,2.058138766342786,1.0,1.738,1.0,0.0
calendar,36,3600231,0.0,500,200,-10,2,,3909.0,6673.0,2176.0,0.1378279412028267,0.0129425955005127,3.5486081669110906e-05,0.000115433786602,0.0003450803287418,7.578349240921508,3884.0,2764.0,1194.0,976.0,299,200,3909.0,-25.0,3.004516310729735,4.0989289310155685,0.96,1.0,1.0,0.0
event_time,36,3600231,0.0,500,200,-10,2,13.0,3909.0,10691.0,3418.0,0.0603686318365972,0.0333064068535168,1.5380543143082114e-05,4.515230503859184e-05,0.000282911394036,1.811599309069149,3925.0,3923.0,1337.0,1248.0,193,181,3909.0,16.0,1.7942371235613168,2.469355416461852,1.0,1.72,1.0,0.0
calendar,37,3700231,0.0,500,200,-10,2,,4147.0,6528.0,2116.0,0.6656760608191384,0.0303763336695427,0.00016192558035,0.0005237419833352,0.0007366546988135,12.6922748738365,4111.0,2381.0,1271.0,837.0,299,200,4147.0,-36.0,4.776797400248231,3.870060625183682,1.0,1.0,1.0,0.0
event_time,37,3700231,0.0,500,200,-10,2,14.0,4147.0,10627.0,3510.0,0.0969479265404806,0.0231818912995142,2.3372209869932647e-05,7.400605079426002e-05,0.0003461161883092,4.2012094597135095,4148.0,4167.0,1310.0,1476.0,196,195,4147.0,1.0,2.680667599454166,3.406490761628573,1.0,1.76,1.0,0.0
calendar,38,3800231,0.0,500,200,-10,2,,3157.0,5789.0,1965.0,0.0518685605743698,0.039303650306037,1.649763377047387e-05,4.610538717721765e-05,0.0002352631055139,1.104777007682785,3144.0,2632.0,1125.0,835.0,299,200,3157.0,-13.0,0.8524441648878321,1.0466058052845923,1.0,1.0,1.0,0.0
event_time,38,3800231,0.0,500,200,-10,2,11.0,3157.0,9094.0,3175.0,0.0538245974833427,0.0408756358999513,1.7027711952971453e-05,4.942570935109528e-05,0.0003102904601765,1.31803885769006,3161.0,3164.0,1089.0,1035.0,177,165,3157.0,4.0,0.9827511559604538,0.7676691048712506,1.0,1.644,1.0,0.0
calendar,39,3900231,0.0,500,200,-10,2,,3907.0,7599.0,2356.0,0.0550621555143283,0.0187838382622907,1.4140255653397103e-05,4.203217978193001e-05,0.0002178149388157,2.7792942465860633,3894.0,3692.0,1310.0,1043.0,299,200,3907.0,-13.0,1.2754120006011698,2.3771406462297175,0.9433333333333334,1.0,1.0,0.0
