mode,regime,volume_threshold,hft_frac,run,seed,n_iter,shock_it,shock_dp,speed_multiplier,info_lag,softlimit,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,avg_sub_iters,max_sub_iters_observed,threshold_hit_rate,executed_volume_total,book_depleted_rate,calendar_volume_per_tick_target,vstar_to_calendar_tick_ratio
calendar,calendar,,0.4,13,130402,500,200,-10,2,0,100,4.135802671549884,8.046669928232001,0.17431192660550462,14,0.96,1.0,1,1.0,9765,0.0,12.914933333333332,
calendar,calendar,,0.4,14,140402,500,200,-10,2,0,100,2.15318158785767,2.3398027060915374,0.0929577464788733,22,0.9666666666666667,1.0,1,1.0,8323,0.0,12.914933333333332,
calendar,calendar,,0.4,15,150402,500,200,-10,2,0,100,1.7341367996244796,2.583038093394347,0.2960088691796009,10,1.0,1.0,1,1.0,7958,0.0,12.914933333333332,
calendar,calendar,,0.4,16,160402,500,200,-10,2,0,100,1.5745344052936117,0.7554540775644413,0.21752265861027184,3,1.0,1.0,1,1.0,7719,0.0,12.914933333333332,
calendar,calendar,,0.4,17,170402,500,200,-10,2,0,100,4.093653795658626,4.761017542636402,0.16666666666666663,16,0.99,1.0,1,1.0,8141,0.0,12.914933333333332,
calendar,calendar,,0.4,18,180402,500,200,-10,2,0,100,1.9640406143285767,2.1309523768433896,0.21052631578947373,76,1.0,1.0,1,1.0,8263,0.0,12.914933333333332,
calendar,calendar,,0.4,19,190402,500,200,-10,2,0,100,5.300106321317933,6.361072848152881,0.1629327902240326,47,0.8866666666666667,1.0,1,1.0,8148,0.0,12.914933333333332,
calendar,calendar,,0.4,20,200402,500,200,-10,2,0,100,1.5502604269112723,1.3071964939542973,0.12760180995475107,59,1.0,1.0,1,1.0,8267,0.0,12.914933333333332,
calendar,calendar,,0.4,21,210402,500,200,-10,2,0,100,6.50035681651887,5.593689448226248,0.2985074626865672,10,1.0,1.0,1,1.0,8857,0.0,12.914933333333332,
calendar,calendar,,0.4,22,220402,500,200,-10,2,0,100,7.518800730928912,11.645467513228283,0.3763440860215054,59,1.0,1.0,1,1.0,8799,0.0,12.914933333333332,
calendar,calendar,,0.4,23,230402,500,200,-10,2,0,100,4.893320700148377,7.005896051915624,0.17167798254122202,51,0.8866666666666667,1.0,1,1.0,9137,0.0,12.914933333333332,
calendar,calendar,,0.4,24,240402,500,200,-10,2,0,100,2.2397778334990353,2.1167506244688767,0.18872017353579182,13,1.0,1.0,1,1.0,7743,0.0,12.914933333333332,
calendar,calendar,,0.4,25,250402,500,200,-10,2,0,100,1.4322610049613824,1.5929872441544601,0.21608040201005024,48,1.0,1.0,1,1.0,7851,0.0,12.914933333333332,
calendar,calendar,,0.4,26,260402,500,200,-10,2,0,100,3.7950785422238376,3.1186503873295965,0.2616915422885572,28,1.0,1.0,1,1.0,7824,0.0,12.914933333333332,
calendar,calendar,,0.4,27,270402,500,200,-10,2,0,100,5.534268036658814,7.285517839892495,0.1985743380855397,10,0.99,1.0,1,1.0,9367,0.0,12.914933333333332,
