mode,regime,volume_threshold,hft_frac,run,seed,n_ticks,shock_tick,shock_dp,speed_multiplier,softlimit,n_random,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_stress_ratio,avg_sub_iters,max_sub_iters_observed,threshold_hit_rate,executed_volume_total,book_depleted_rate,calendar_volume_per_tick_target,vstar_to_calendar_tick_ratio
calendar,calendar,,0.1,25,250052,500,200,-10,2,100,5,0.759639109348356,0.6294461521787521,0.21388367729831143,50,0.0,1.0,1,1.0,6880,0.0,12.591199999999997,
calendar,calendar,,0.1,26,260052,500,200,-10,2,100,5,1.82290350915031,1.6731957217293665,0.210896309314587,24,0.0,1.0,1,1.0,6857,0.0,12.591199999999997,
calendar,calendar,,0.1,27,270052,500,200,-10,2,100,5,3.8235656360796755,2.9989408023733306,0.24621594349142273,40,0.0,1.0,1,1.0,7492,0.0,12.591199999999997,
calendar,calendar,,0.1,28,280052,500,200,-10,2,100,5,1.9452691006924123,1.7902205523730619,0.1657754010695187,9,0.0,1.0,1,1.0,6505,0.0,12.591199999999997,
calendar,calendar,,0.1,29,290052,500,200,-10,2,100,5,0.7821325313610461,1.0705350107071718,0.18606965174129356,173,0.0,1.0,1,1.0,7220,0.0,12.591199999999997,
calendar,calendar,,0.2,0,62,500,200,-10,2,100,5,1.5179035601399449,1.1461460229287943,0.2137404580152671,9,0.0,1.0,1,1.0,7085,0.0,12.591199999999997,
calendar,calendar,,0.2,1,10062,500,200,-10,2,100,5,0.9968781686719391,0.9915833822533985,0.11456310679611648,12,0.0,1.0,1,1.0,7066,0.0,12.591199999999997,
calendar,calendar,,0.2,2,20062,500,200,-10,2,100,5,2.2241945992756746,2.541712295926615,0.17731958762886602,68,0.0,1.0,1,1.0,6981,0.0,12.591199999999997,
calendar,calendar,,0.2,3,30062,500,200,-10,2,100,5,2.6386053843744777,3.6481514690342363,0.15454545454545449,10,0.0,1.0,1,1.0,6426,0.0,12.591199999999997,
calendar,calendar,,0.2,4,40062,500,200,-10,2,100,5,6.46106620133037,6.098583463418383,0.2184235517568851,30,0.0,1.0,1,1.0,8034,0.0,12.591199999999997,
calendar,calendar,,0.2,5,50062,500,200,-10,2,100,5,2.584447358069199,2.593613705168137,0.14965312190287422,15,0.0,1.0,1,1.0,7071,0.0,12.591199999999997,
