run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,stabilization_price,stabilization_price_ratio,stabilization_gap,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
36,36020320,0.2,0,300,2,100,500,200,-10,9.227784975339317,9.165492089734382,0.3923395445134575,16,0.9333333333333332,84.934,0.8792339544513458,0.1207660455486542,0.2797128263226249,0.1520917016088777,0.9521514469775848,0.9163879598662208
37,37020320,0.2,0,300,2,100,500,200,-10,1.3570121523276455,1.6398151142154076,0.2180904522613065,5,1.0,94.544,0.9501909547738692,0.0498090452261307,0.3461316907708532,0.2947943968868342,0.9775225222420522,0.1839464882943143
38,38020320,0.2,0,300,2,100,500,200,-10,4.765723104392827,4.724232541498337,0.2525879917184264,15,1.0,101.008,1.045631469979296,-0.0456314699792961,0.2266769140253555,0.1367239753702795,0.9388109652902648,0.7123745819397993
39,39020320,0.2,0,300,2,100,500,200,-10,1.4799149226045372,1.9178698319399552,0.5767955801104973,300,1.0,71.054,0.7851270718232044,0.2148729281767956,0.3214040889071055,0.0697760828724604,0.9498658794673877,0.31438127090301
40,40020320,0.2,0,300,2,100,500,200,-10,3.492381851581988,2.936574323947016,0.1805555555555556,13,1.0,94.65999999999998,1.0956018518518515,-0.0956018518518515,0.1192199382095039,0.047919251499191,0.9437670782110216,0.7290969899665551
41,41020320,0.2,0,300,2,100,500,200,-10,5.79363568949527,8.615492687303265,0.1891304347826087,13,0.95,104.708,1.138130434782609,-0.1381304347826089,0.3765817819912033,0.0438206808005593,0.9611505484312484,0.8963210702341137
42,42020320,0.2,0,300,2,100,500,200,-10,1.8651444027152737,1.5213985332508744,0.4241545893719806,16,1.0,104.47,1.0093719806763284,-0.0093719806763283,0.2537538095530408,0.0955349559787357,0.9391465235997924,0.2341137123745819
43,43020320,0.2,0,300,2,100,500,200,-10,1.3501265456160274,0.9539836435608314,0.3555363321799307,300,1.0,83.97,0.7263840830449827,0.2736159169550173,0.5048101624473552,0.1885042809891829,0.968821739495006,0.1872909698996655
44,44020320,0.2,0,300,2,100,500,200,-10,2.1088559943156557,1.900864113298565,0.3168016194331983,8,1.0,104.364,1.056315789473684,-0.0563157894736841,0.4144193171607893,0.2070785494428727,0.9828819241116958,0.2742474916387959
45,45020320,0.2,0,300,2,100,500,200,-10,1.7886653750079191,1.7014779356605252,0.2830957230142565,4,1.0,94.006,0.9572912423625254,0.0427087576374746,0.4842589581422186,0.1073867948180136,0.94744441354673,0.3210702341137124
