mode,run,seed,hft_frac,speed_mult,info_lag,book_volume,softlimit,n_ticks,shock_tick,calendar_target_ticks,target_total_volume,target_shock_volume,total_executed_volume,post_volume,volume_match_error,volume_per_tick,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,realized_vol_per_volume,shock_triggered
event_time,44,4400222,0.0,2,0,1000,100,512,201,500,6633.0,3290.0,6639.0,3338.0,6.0,12.966796875,0.8832115787845881,1.4921367320274421,0.10991379310344832,3,0.0,0.0001768999845644222,True
calendar,45,4500222,0.0,2,0,1000,100,500,200,500,6215.0,2580.0,6215.0,3635.0,0.0,12.43,1.0182557317418302,1.0612455647810053,0.1809623430962343,9,0.0,0.00024491664776409033,True
event_time,45,4500222,0.0,2,0,1000,100,516,202,500,6215.0,2580.0,6221.0,3628.0,6.0,12.056201550387597,0.9296227952800744,1.0386273066414098,0.11146496815286625,2,0.0,0.00023023192457868216,True
calendar,46,4600222,0.0,2,0,1000,100,500,200,500,6154.0,2080.0,6154.0,4074.0,0.0,12.308,2.774388442101172,2.572727720391704,0.16012084592145007,27,0.0,0.00039654282026041525,True
event_time,46,4600222,0.0,2,0,1000,100,467,202,500,6154.0,2080.0,6169.0,4075.0,15.0,13.209850107066382,5.798210396714096,4.7541566462119045,0.2377551020408163,24,0.0,0.0008488473846094941,True
calendar,47,4700222,0.0,2,0,1000,100,500,200,500,6704.0,2640.0,6704.0,4064.0,0.0,13.408,1.9732106453499039,1.8449788993583267,0.10928433268858812,18,0.0,0.0002489450190202443,True
event_time,47,4700222,0.0,2,0,1000,100,500,201,500,6704.0,2640.0,6704.0,4044.0,0.0,13.408,1.967560894159224,1.851778834888014,0.11697027804410358,17,0.0,0.00024933668373833647,True
calendar,48,4800222,0.0,2,0,1000,100,500,200,500,6316.0,2650.0,6316.0,3666.0,0.0,12.632,3.449277654172528,2.706489797951248,0.19172113289760342,12,0.0,0.0005039870243279534,True
event_time,48,4800222,0.0,2,0,1000,100,470,204,500,6316.0,2650.0,6320.0,3626.0,4.0,13.446808510638299,4.474809355284219,3.627144744366905,0.18543046357615892,11,0.0,0.0005376622743467019,True
calendar,49,4900222,0.0,2,0,1000,100,500,200,500,7233.0,3683.0,7233.0,3550.0,0.0,14.466,3.397468955354792,3.812015813311404,0.1666666666666667,11,0.0,0.0002926196384116131,True
event_time,49,4900222,0.0,2,0,1000,100,511,203,500,7233.0,3683.0,7234.0,3526.0,1.0,14.15655577299413,3.15366333261308,3.722169259777518,0.10272536687631038,33,0.0,0.00027992814875290575,True
calendar,0,2222,0.2,2,0,1000,100,500,200,500,6498.0,2716.0,6498.0,3782.0,0.0,12.996,1.2282484587007445,1.2515946725649358,0.1340314136125654,10,0.0,0.00024904527596888363,True
event_time,0,2222,0.2,2,0,1000,100,498,202,500,6498.0,2716.0,6503.0,3764.0,5.0,13.058232931726907,1.1585939198169635,1.4317529845961063,0.1198347107438016,18,0.0,0.00021369813030351428,True
calendar,1,102222,0.2,2,0,1000,100,500,200,500,7026.0,3062.0,7026.0,3964.0,0.0,14.052,2.1043420917865028,2.2485255891669906,0.13432835820895522,8,0.0,0.00015234297611828944,True
event_time,1,102222,0.2,2,0,1000,100,450,202,500,7026.0,3062.0,7037.0,3949.0,11.0,15.637777777777778,5.240054128473008,4.801308619325346,0.14314115308151085,8,0.0,0.00043516727594576025,True
calendar,2,202222,0.2,2,0,1000,100,500,200,500,7565.0,3278.0,7565.0,4287.0,0.0,15.13,2.3728813821936408,3.1102552588080203,0.1878612716763006,7,0.0,0.0004266011186929973,True
event_time,2,202222,0.2,2,0,1000,100,522,203,500,7565.0,3278.0,7574.0,4234.0,9.0,14.509578544061302,1.9792907449717385,1.6572295927551863,0.17006802721088435,4,0.0,0.0003553955697514655,True
calendar,3,302222,0.2,2,0,1000,100,500,200,500,6473.0,2381.0,6473.0,4092.0,0.0,12.946,1.7960446210805432,2.029882632847172,0.22629969418960236,15,0.0,0.00022353453367213728,True
event_time,3,302222,0.2,2,0,1000,100,513,202,500,6473.0,2381.0,6478.0,4054.0,5.0,12.627680311890838,1.8395435474785211,2.1212238313274367,0.19817073170731705,15,0.0,0.00026027923608758674,True
calendar,4,402222,0.2,2,0,1000,100,500,200,500,6859.0,2790.0,6859.0,4069.0,0.0,13.718,2.2816580390159285,2.501275107407179,0.20368474923234398,39,0.0,0.000395232459145304,True
event_time,4,402222,0.2,2,0,1000,100,508,203,500,6859.0,2790.0,6864.0,4033.0,5.0,13.511811023622048,2.026332501649796,2.35363822786593,0.16804123711340202,33,0.0,0.0003672958778519517,True
calendar,5,502222,0.2,2,0,1000,100,500,200,500,7192.0,2750.0,7192.0,4442.0,0.0,14.384,2.2799411058895847,2.132960782340232,0.257,20,0.0,0.0006219498756387877,True
event_time,5,502222,0.2,2,0,1000,100,533,202,500,7192.0,2750.0,7197.0,4430.0,5.0,13.50281425891182,1.2392112522814804,1.3035593870100761,0.19693877551020406,15,0.0,0.00028883259884036574,True
calendar,6,602222,0.2,2,0,1000,100,500,200,500,7809.0,3796.0,7809.0,4013.0,0.0,15.618,2.2916895409693714,2.940829582908522,0.14459161147902863,3,0.0,0.0003369945329343214,True
event_time,6,602222,0.2,2,0,1000,100,495,202,500,7809.0,3796.0,7809.0,3974.0,0.0,15.775757575757575,3.0337729345200963,2.773390465746387,0.16613076098606647,25,0.0,0.00035993234961981295,True
calendar,7,702222,0.2,2,0,1000,100,500,200,500,6918.0,2661.0,6918.0,4257.0,0.0,13.836,1.5550601719584995,1.7476147273249205,0.0876424189307625,8,0.0,0.0002769144305581049,True
event_time,7,702222,0.2,2,0,1000,100,489,203,500,6918.0,2661.0,6918.0,4187.0,0.0,14.14723926380368,2.643478714306269,2.348680612791703,0.2176520994001714,13,0.0,0.000475251305825138,True
calendar,8,802222,0.2,2,0,1000,100,500,200,500,7511.0,3187.0,7511.0,4324.0,0.0,15.022,0.9191876420960513,1.0702048742073391,0.20359848484848486,27,0.0,0.00037149412275366015,True
event_time,8,802222,0.2,2,0,1000,100,504,201,500,7511.0,3187.0,7514.0,4307.0,3.0,14.908730158730158,0.8058044544357654,0.8830096584318222,0.2135655362053162,86,0.0,0.0002725577868755623,True
calendar,9,902222,0.2,2,0,1000,100,500,200,500,7190.0,2867.0,7190.0,4323.0,0.0,14.38,1.6929462254291032,1.8158054824105148,0.22164412070759623,28,0.0,0.0006094285305876621,True
event_time,9,902222,0.2,2,0,1000,100,490,201,500,7190.0,2867.0,7197.0,4306.0,7.0,14.687755102040816,1.0583948444142308,1.0377416029547175,0.1675617615467239,20,0.0,0.00023491396516526822,True
calendar,10,1002222,0.2,2,0,1000,100,500,200,500,6411.0,2539.0,6411.0,3872.0,0.0,12.822,1.5851897548609064,1.845951695320909,0.2461832061068702,300,0.0,0.00026699681592221036,True
event_time,10,1002222,0.2,2,0,1000,100,510,202,500,6411.0,2539.0,6415.0,3839.0,4.0,12.57843137254902,1.2913554806959877,1.4139018810643442,0.13393756294058407,3,0.0,0.00020082647033627818,True
calendar,11,1102222,0.2,2,0,1000,100,500,200,500,6180.0,2742.0,6180.0,3438.0,0.0,12.36,1.5028021790007653,1.6013612404688886,0.10303030303030306,5,0.0,0.000190535194914598,True
event_time,11,1102222,0.2,2,0,1000,100,439,203,500,6180.0,2742.0,6192.0,3416.0,12.0,14.104783599088838,2.3924175323923453,2.6752279099243594,0.06477732793522259,3,0.0,0.00032715631658028596,True
calendar,12,1202222,0.2,2,0,1000,100,500,200,500,6258.0,2789.0,6258.0,3469.0,0.0,12.516,0.9558171775171445,1.199478313156792,0.25194552529182873,300,0.0,0.00020897032689688432,True
event_time,12,1202222,0.2,2,0,1000,100,431,201,500,6258.0,2789.0,6259.0,3447.0,1.0,14.522041763341067,1.9882236917637641,2.2464792917740097,0.21194605009633913,230,0.0,0.0004590820789146947,True
calendar,13,1302222,0.2,2,0,1000,100,500,200,500,6903.0,3195.0,6903.0,3708.0,0.0,13.806,0.6040521775032772,0.6253409825975249,0.11052631578947368,5,0.0,0.0003299712681146423,True
event_time,13,1302222,0.2,2,0,1000,100,476,201,500,6903.0,3195.0,6903.0,3687.0,0.0,14.502100840336135,0.7184572686624292,0.6531228321703814,0.1702564102564102,2,0.0,0.00037048489846177793,True
calendar,14,1402222,0.2,2,0,1000,100,500,200,500,6508.0,2574.0,6508.0,3934.0,0.0,13.016,2.3677978011431464,2.3621962422375726,0.1577825159914712,12,0.0,0.0004932807489879495,True
