regime,mode,volume_threshold,hft_frac,n_runs,vol_ratio_mean,vol_ratio_std,vol_ratio_ci_low,vol_ratio_ci_high,spread_ratio_mean,spread_ratio_std,spread_ratio_ci_low,spread_ratio_ci_high,max_drawdown_mean,max_drawdown_std,max_drawdown_ci_low,max_drawdown_ci_high,recovery_time_mean,recovery_time_std,recovery_time_ci_low,recovery_time_ci_high,mm_stress_ratio_mean,mm_stress_ratio_std,mm_stress_ratio_ci_low,mm_stress_ratio_ci_high,avg_sub_iters_mean,avg_sub_iters_std,avg_sub_iters_ci_low,avg_sub_iters_ci_high,threshold_hit_rate_mean,threshold_hit_rate_std,threshold_hit_rate_ci_low,threshold_hit_rate_ci_high,executed_volume_total_mean,executed_volume_total_std,executed_volume_total_ci_low,executed_volume_total_ci_high,book_depleted_rate_mean,book_depleted_rate_std,book_depleted_rate_ci_low,book_depleted_rate_ci_high,calendar_volume_per_tick_target_mean,calendar_volume_per_tick_target_std,calendar_volume_per_tick_target_ci_low,calendar_volume_per_tick_target_ci_high,vstar_to_calendar_tick_ratio_mean,vstar_to_calendar_tick_ratio_std,vstar_to_calendar_tick_ratio_ci_low,vstar_to_calendar_tick_ratio_ci_high
event_time_V100,event_time,100.0,0.9,30,0.6680766914340878,0.7721705890485429,0.40314308520407577,0.93665635113918,2.6345994411326092,2.181447369174828,1.8714834720640607,3.637284830821612,0.30830493648977875,0.3458474937068632,0.19167094755666308,0.4259667897978675,33.4,90.54912935852121,3.765833333333333,72.56833333333333,0.0,0.0,0.0,0.0,27.71893333333333,8.726886852327889,24.762916666666666,30.612081666666665,0.5096,0.2016869544274168,0.44293000000000005,0.5784016666666666,28163.866666666665,11069.215742500595,24495.4825,31914.140833333335,0.48879999999999996,0.20151536263846076,0.42025833333333323,0.5554683333333332,,,,,,,,
event_time_V100,event_time,100.0,1.0,30,0.2916511239044045,0.5495360428073541,0.11272222712478903,0.4887559441566257,3.0871614154724694,1.819145684732947,2.1592393844061517,4.190810888929081,0.18822097354347905,0.33888862419964116,0.07870149739020285,0.30620244500450305,22.3,75.61342245377082,1.6650000000000003,52.30083333333333,0.0,0.0,0.0,0.0,33.065266666666666,7.488761390765237,30.433818333333328,35.63269,0.3849333333333333,0.1725130546451152,0.32606666666666667,0.4454733333333334,21350.1,9473.562805567632,18120.539166666666,24651.195,0.6132666666666665,0.17259518779669009,0.5526583333333334,0.6722,,,,,,,,
event_time_V25,event_time,25.0,0.0,30,1.6190366168492638,0.8286002019606967,1.3531892952987512,1.9562408256994255,1.8194035555474237,1.015899241180965,1.4973326571141163,2.2084873365574644,0.19549824478226227,0.07213714384247896,0.16805230321979656,0.22309135360874985,27.033333333333335,53.501842271428195,14.166666666666666,49.43666666666666,0.0,0.0,0.0,0.0,2.8246000000000007,0.10966676798374245,2.7837333333333327,2.863601666666666,1.0,0.0,1.0,1.0,16027.433333333332,231.66558587360558,15946.728333333334,16106.337500000001,0.0,0.0,0.0,0.0,,,,,,,,
event_time_V25,event_time,25.0,0.1,30,1.686124672513399,0.7484698219057265,1.4316627674431064,1.9531696305853306,1.7823272651974047,0.870189916692928,1.491585166586596,2.1007834377199113,0.19131434434446742,0.07489061035320939,0.16463092325504403,0.21884773200639704,32.96666666666667,66.24535550841871,13.258333333333335,58.604166666666664,0.0,0.0,0.0,0.0,2.7212666666666663,0.08386603987120268,2.691183333333333,2.7505350000000006,1.0,0.0,1.0,1.0,16149.733333333334,186.50153615588732,16084.9,16214.770833333334,0.0,0.0,0.0,0.0,,,,,,,,
event_time_V25,event_time,25.0,0.2,30,1.9974005013995244,0.9148521069732899,1.680280209221808,2.29729059400531,1.852110715263241,0.7983336085069105,1.578981169171624,2.13593922596801,0.23530412814431084,0.09045345984571349,0.20429677396278,0.2670076054507849,31.733333333333334,59.64430968802405,14.696666666666665,53.70833333333333,0.0,0.0,0.0,0.0,2.551533333333334,0.09154110941344157,2.519926666666667,2.581738333333334,1.0,0.0,1.0,1.0,16409.366666666665,213.08804774541915,16338.263333333332,16477.53583333333,0.0,0.0,0.0,0.0,,,,,,,,
event_time_V25,event_time,25.0,0.3,30,1.9724424281333295,1.408576729860983,1.51019920989037,2.5154500470850336,1.90271839735967,1.4909573603692892,1.4195851877368957,2.5016867261907882,0.23673248446728243,0.10458610471897928,0.20320248206179337,0.2749547656377011,24.366666666666667,54.78452042466849,11.0,45.775833333333324,0.0,0.0,0.0,0.0,2.439133333333333,0.08930487623607254,2.408466666666667,2.4696133333333337,1.0,0.0,1.0,1.0,16581.2,229.47532359260555,16502.024999999998,16658.505833333333,0.0,0.0,0.0,0.0,,,,,,,,
event_time_V25,event_time,25.0,0.4,30,1.9391157859194508,0.9609262142725504,1.6203620134050458,2.2935030221658637,1.9295942759272282,1.0368832788371056,1.5981881531355857,2.323986492428231,0.2742448939866881,0.12629288587711618,0.22956174459142004,0.3198932604463352,29.3,36.54864495813576,17.7,43.17499999999999,0.0,0.0,0.0,0.0,2.3344,0.07292584802623026,2.3079933333333336,2.360334999999999,1.0,0.0,1.0,1.0,16792.1,252.13917202403422,16698.270833333332,16878.068333333333,0.0,0.0,0.0,0.0,,,,,,,,
event_time_V25,event_time,25.0,0.5,30,2.521640866949751,1.3847143611724555,2.0442391479937405,3.049505196686816,2.619385813990006,1.8479713367083725,1.9893141710988271,3.387515015372635,0.25145805514190595,0.10772477039474389,0.2154673462432127,0.2921280457826122,27.866666666666667,40.445564381782575,15.330833333333334,42.902499999999996,0.0,0.0,0.0,0.0,2.222466666666667,0.10883037523923478,2.18393,2.261143333333334,1.0,0.0,1.0,1.0,16980.4,266.22554606819824,16883.995833333334,17071.876666666663,0.0,0.0,0.0,0.0,,,,,,,,
event_time_V25,event_time,25.0,0.6,30,2.2801016541385484,0.9655491442471168,1.9440061034391596,2.6223987422319803,2.0991497347901156,1.0917368192720396,1.7382827554783367,2.4920403940831872,0.2478043743723191,0.11907080497368656,0.20566976582278448,0.28989388020828827,24.533333333333335,54.63088259705614,10.498333333333333,46.87,0.0,0.0,0.0,0.0,2.4831333333333334,1.48417423304105,2.1741283333333334,3.0377233333333327,0.9935333333333334,0.031520910775102204,0.9820666666666665,1.0,17072.2,584.2349787070503,16838.298333333332,17228.595833333333,0.006333333333333333,0.031126364624103536,0.0,0.017666666666666667,,,,,,,,
event_time_V25,event_time,25.0,0.7,30,2.5561008764733213,1.4194868677322994,2.1079423477083883,3.0950313702341794,2.608325129131376,2.0173560875010437,1.9917776804345237,3.361891242889062,0.3166424078001956,0.16941683736587507,0.2553524002527021,0.376829528999211,30.133333333333333,56.034308045704634,14.665833333333333,52.233333333333334,0.0,0.0,0.0,0.0,3.093666666666667,3.0305496978707285,2.184648333333333,4.260769999999999,0.9782666666666666,0.06352785614002039,0.9537983333333332,0.9970666666666667,16995.4,1133.5808566752924,16556.438333333335,17349.6925,0.02146666666666667,0.06301162089500706,0.0029333333333333334,0.04580333333333333,,,,,,,,
