run,seed,hft_frac,info_lag,softlimit,speed_mult,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
22,2202022,0.2,0,20,2,500,200,-10,1.3204096330523574,1.4916205766375983,0.14435146443514643,18,1.0,0.2970702814175179,0.22169992970156466,0.9654948554438986,0.27759197324414714
23,2302022,0.2,0,20,2,500,200,-10,1.8815895745045368,1.983221687085873,0.12195121951219512,21,1.0,0.3101901268067651,0.10820842168084696,0.9721590067950086,0.4816053511705686
24,2402022,0.2,0,20,2,500,200,-10,3.1075570593580326,2.7457550325858873,0.23144531250000003,36,1.0,0.17911020902421637,0.1550959047784584,0.9523865849713326,0.4916387959866221
25,2502022,0.2,0,20,2,500,200,-10,2.500271512107876,1.6442038482160364,0.2654784240150094,35,1.0,0.3343303867611925,0.011119779237729228,0.9468514460728502,0.3277591973244147
26,2602022,0.2,0,20,2,500,200,-10,1.5244723304709888,1.6629057694792335,0.09980430528375736,14,1.0,0.38012797569597,0.1931343969143446,0.9615338934891418,0.15719063545150502
27,2702022,0.2,0,20,2,500,200,-10,0.5807151990538806,0.6715043221682866,0.11641443538998836,9,1.0,0.3319214164832302,0.25870219763777913,0.9693937000760497,0.026755852842809364
28,2802022,0.2,0,20,2,500,200,-10,1.2587384715609133,1.5127330982549272,0.14432989690721648,34,1.0,0.28413626249977725,0.10450692254035948,0.9685943761087189,0.1806020066889632
29,2902022,0.2,0,20,2,500,200,-10,1.9782547822503143,1.2545009092139525,0.09206081081081086,24,1.0,0.448708843746617,0.31271317815367267,0.9788192204231708,0.2408026755852843
0,4022,0.4,0,20,2,500,200,-10,0.8352267041793002,0.730758617482625,0.15885947046843185,7,1.0,0.261965389014957,0.2593889206384652,0.9623186664641997,0.09698996655518395
1,104022,0.4,0,20,2,500,200,-10,2.1810766723019714,1.965160780073303,0.17630331753554496,214,1.0,0.3449185109128395,0.16944019308518185,0.9523989260524892,0.44816053511705684
2,204022,0.4,0,20,2,500,200,-10,4.238460042898565,2.981380439702069,0.10195035460992909,18,1.0,0.26012587180482133,0.05133548280385051,0.9755242128249599,0.7090301003344481
3,304022,0.4,0,20,2,500,200,-10,1.838338497301651,1.2044645177266222,0.09116809116809112,13,1.0,0.21087135483428146,0.22417806661875253,0.981653464464476,0.18729096989966554
4,404022,0.4,0,20,2,500,200,-10,2.484216072812301,1.9488216377978302,0.21476510067114085,62,1.0,0.2384221222858973,0.08472759403308533,0.960143999467187,0.5819397993311036
5,504022,0.4,0,20,2,500,200,-10,1.2356146438700129,1.094802435933848,0.10728346456692905,6,1.0,0.2666699124032958,0.10302225905894927,0.9541157212919487,0.26421404682274247
6,604022,0.4,0,20,2,500,200,-10,1.700849348734855,1.1814935831903006,0.20850202429149792,11,1.0,0.24130347641820177,0.27733294950124693,0.961427155459932,0.20066889632107024
7,704022,0.4,0,20,2,500,200,-10,0.9132463059667787,0.6622991395477124,0.09017857142857137,19,1.0,0.18402080985319116,0.2492761062305961,0.9541274108989221,0.0
8,804022,0.4,0,20,2,500,200,-10,0.6674117051790832,0.7163931358258497,0.1736694677871148,4,1.0,0.3688770322424608,0.17222874833063648,0.9671581265392365,0.046822742474916385
9,904022,0.4,0,20,2,500,200,-10,0.38425591521472446,0.31924198614025623,0.10044843049327357,20,1.0,0.23327041685544755,0.06643815660325572,0.9430333787303423,0.0
10,1004022,0.4,0,20,2,500,200,-10,1.3841809450191844,1.3380070150076433,0.12043010752688176,4,1.0,0.3886885312843236,0.12481440374352296,0.9638472863499387,0.33444816053511706
11,1104022,0.4,0,20,2,500,200,-10,1.2808588431887271,1.3190802631082736,0.13693346190935393,14,1.0,0.29231237530152027,0.1795955471880812,0.9480682839653702,0.15719063545150502
12,1204022,0.4,0,20,2,500,200,-10,2.1613238677961486,2.0975353534600845,0.4130675526024363,99,1.0,0.3009464865799025,0.11994862571870703,0.9652827071583645,0.5351170568561873
13,1304022,0.4,0,20,2,500,200,-10,0.9497734560885358,1.1378864346609805,0.15555555555555559,19,1.0,0.38407500098102865,0.011768619741170902,0.9525397653321578,0.0903010033444816
14,1404022,0.4,0,20,2,500,200,-10,0.9958756418664747,1.002393610564665,0.10799999999999997,4,1.0,0.4728588494993884,-0.03556143340339089,0.9637821182683672,0.2040133779264214
15,1504022,0.4,0,20,2,500,200,-10,1.183288125360819,1.3751404017697755,0.18840579710144933,38,1.0,0.40034181291574794,0.10387357933342614,0.9654975967946609,0.33444816053511706
16,1604022,0.4,0,20,2,500,200,-10,0.7517137078998888,0.9414616690158529,0.09828244274809157,2,1.0,0.3263368537350743,0.0519897677037317,0.9628093979643237,0.07357859531772576
17,1704022,0.4,0,20,2,500,200,-10,2.572132455848449,2.8737475273540105,0.2995642701525055,28,1.0,0.3678803553654573,0.09220339883109988,0.9527181146715831,0.4414715719063545
18,1804022,0.4,0,20,2,500,200,-10,4.439541671524793,3.1658098883041466,0.2940092165898618,14,1.0,0.22309903544461512,0.26231278754962284,0.9689909068936916,0.6153846153846154
19,1904022,0.4,0,20,2,500,200,-10,0.9762020906484534,0.7283585670922372,0.0924062214089661,14,1.0,0.28434882549438806,0.05823136592306519,0.952529916064831,0.0
20,2004022,0.4,0,20,2,500,200,-10,2.7030843643735594,2.4945861209055527,0.2457466918714556,3,1.0,0.36234668415497645,0.1055213799503431,0.9755883768632706,0.38461538461538464
21,2104022,0.4,0,20,2,500,200,-10,1.1813760126847237,1.3325855785341612,0.18107833163784331,11,1.0,0.4118358689659281,0.15883305732355596,0.9652899040688214,0.18394648829431437
22,2204022,0.4,0,20,2,500,200,-10,1.279221963124748,1.4344132589358822,0.10351966873706005,7,1.0,0.3579822104216834,0.2644114459336102,0.971541970105703,0.25418060200668896
23,2304022,0.4,0,20,2,500,200,-10,2.0965319619593146,1.974739529139254,0.2187210379981465,8,1.0,0.2541448803033017,0.2542160154575392,0.9709352897658089,0.3779264214046823
24,2404022,0.4,0,20,2,500,200,-10,2.8066655709074317,3.1189901969880154,0.20449897750511248,31,1.0,0.3909512055123671,0.16198771305256485,0.9848659540712346,0.5652173913043478
25,2504022,0.4,0,20,2,500,200,-10,4.919874465205543,4.961215526269309,0.2720306513409962,20,1.0,0.43926271793391836,0.3372515765457335,0.9811492837362514,0.6354515050167224
26,2604022,0.4,0,20,2,500,200,-10,2.977091734408052,2.8529907731431816,0.343035343035343,11,1.0,0.3147368597271974,0.096953264355809,0.9676169095059538,0.4816053511705686
27,2704022,0.4,0,20,2,500,200,-10,2.36220361156268,1.861437970029308,0.21284755512943435,41,1.0,0.2197834517899477,0.2774055764747026,0.9534141488899895,0.45819397993311034
28,2804022,0.4,0,20,2,500,200,-10,0.9489100209071637,0.8751602887878976,0.3639398998330551,15,1.0,0.31082243667412607,0.17025038780582719,0.9624368580080211,0.04013377926421405
29,2904022,0.4,0,20,2,500,200,-10,2.486689175475953,3.3758798483043995,0.15005599104143327,24,1.0,0.24482387463802333,0.04920282335978812,0.9500498651636411,0.5585284280936454
0,6022,0.6,0,20,2,500,200,-10,1.424975566864949,1.4678316448147584,0.1104536489151874,13,1.0,0.22740199098341288,0.1545682045451567,0.9580970225534983,0.36454849498327757
1,106022,0.6,0,20,2,500,200,-10,2.5378033882984528,2.7220959650505065,0.3181347150259068,1,1.0,0.17384851909424676,0.2720563212217951,0.9525574702757699,0.3745819397993311
2,206022,0.6,0,20,2,500,200,-10,2.7692083680107875,2.384618254232771,0.17838939857288483,25,1.0,0.3073113893905591,0.24119419362859587,0.9771119696634506,0.5886287625418061
3,306022,0.6,0,20,2,500,200,-10,3.152984268535096,2.3841899236767636,0.2998897464167586,14,1.0,0.3485931922083793,0.07443853150382397,0.9621524540562626,0.5852842809364549
4,406022,0.6,0,20,2,500,200,-10,1.609592350587137,1.1068649534833532,0.37744641192917056,24,1.0,0.30002617643383367,0.36136506020703146,0.9561522528723781,0.19063545150501673
5,506022,0.6,0,20,2,500,200,-10,1.2522098835043645,1.1822854690934248,0.1389925373134329,35,1.0,0.18674824116055,0.16007270903582593,0.9526699046061772,0.13712374581939799
6,606022,0.6,0,20,2,500,200,-10,1.320753667871139,1.733608912968213,0.1692307692307693,47,1.0,0.4698201232143808,0.32715298885232375,0.9768690361322213,0.2140468227424749
7,706022,0.6,0,20,2,500,200,-10,1.6510419332459458,1.2365148239898651,0.30054151624548736,44,1.0,0.41434120609073055,0.14624883603719258,0.9647099762958978,0.27759197324414714
8,806022,0.6,0,20,2,500,200,-10,0.48993862217972817,0.585966681510943,0.164435946462715,8,1.0,0.4797012830129603,0.2787713048879756,0.9798250122840181,0.056856187290969896
9,906022,0.6,0,20,2,500,200,-10,1.2203790788363587,1.378697935989634,0.24579831932773114,4,1.0,0.41774287518903086,0.2588514891179028,0.9736712546288482,0.16722408026755853
10,1006022,0.6,0,20,2,500,200,-10,2.749318380701763,2.2325864414982695,0.25041322314049586,75,1.0,0.2843000856832947,0.12294620998191265,0.9492214282545496,0.6588628762541806
11,1106022,0.6,0,20,2,500,200,-10,1.9608755132843787,2.1130200426851524,0.1785028790786949,19,1.0,0.2771068989032584,0.23194984719000822,0.9655117232917072,0.5284280936454849
12,1206022,0.6,0,20,2,500,200,-10,0.9572061357511198,1.4894455161021214,0.2667398463227223,3,1.0,0.5903231344202394,0.23056757279066745,0.9824037068877529,0.15384615384615385
13,1306022,0.6,0,20,2,500,200,-10,2.4734282702977275,2.7267911151278503,0.3771144278606965,300,1.0,0.48343746844148366,0.13656746327251898,0.9762851101546343,0.46153846153846156
14,1406022,0.6,0,20,2,500,200,-10,1.8719323616105346,1.5707192920520314,0.22939424031777564,142,1.0,0.13491135220999345,0.05012925776853507,0.9460643565113475,0.46153846153846156
