hft_frac,info_lag,book_volume,metric,n_boot,n_base,n_delay,n_thin_book,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.4,1,300,high_vol_cluster_share,1000,30,30,30,30,-0.02463768115942072,-0.0208885172798217,-0.2114994425863992,0.17552118171683398,0.862,False,False
0.4,1,300,vol_ratio,1000,30,30,30,30,0.09743565649501074,0.11026032318176021,-1.1032055563274559,1.3280742309708873,0.856,False,True
0.4,1,600,acf_abs_ret_1,1000,30,30,30,30,0.027467356159485645,0.027787337057206735,-0.04463004211900076,0.09451138901119735,0.458,False,True
0.4,1,600,acf_abs_ret_5,1000,30,30,30,30,-0.006803702627787234,-0.005560455668472941,-0.071978733765755,0.060600492989578876,0.858,False,False
0.4,1,600,vol_persistence,1000,30,30,30,30,0.0008456838830548374,0.0008225794491501789,-0.007182197782699018,0.009557390726019327,0.878,False,True
0.4,1,600,high_vol_cluster_share,1000,30,30,30,30,0.008584169453734414,0.009887736900780344,-0.19012541806020067,0.2114046822742474,0.934,False,True
0.4,1,600,vol_ratio,1000,30,30,30,30,-0.15519036946368203,-0.1805795812648467,-1.3567434622614163,1.0504709617795387,0.802,False,False
0.4,1,1000,acf_abs_ret_1,1000,30,30,30,30,-0.02631328060557725,-0.02581709724949404,-0.09344714367428796,0.04401109891304541,0.452,False,False
0.4,1,1000,acf_abs_ret_5,1000,30,30,30,30,-0.03851761272280574,-0.038915200726377,-0.10711388834568317,0.034260621476488624,0.278,False,False
0.4,1,1000,vol_persistence,1000,30,30,30,30,0.0011763137513381983,0.0012154220364200485,-0.007481086012245836,0.009873489531898596,0.78,False,True
0.4,1,1000,high_vol_cluster_share,1000,30,30,30,30,-0.0023411371237461176,-0.0035542920847269175,-0.17017279821627665,0.15977982162764776,0.986,False,False
0.4,1,1000,vol_ratio,1000,30,30,30,30,-0.050014713185145165,-0.03169828074382426,-1.1830505675471397,1.18326959406638,0.952,False,False
0.4,3,300,acf_abs_ret_1,1000,30,30,30,30,0.050014544296566654,0.049182409899567674,-0.0198904748619528,0.11452168434621239,0.14,False,True
0.4,3,300,acf_abs_ret_5,1000,30,30,30,30,0.0035401501083866527,0.0019697699535403475,-0.07542735698781437,0.080031951302797,0.956,False,True
0.4,3,300,vol_persistence,1000,30,30,30,30,-0.0034012257026845294,-0.0033777341917157317,-0.012793855976050358,0.00523274077977579,0.486,False,False
0.4,3,300,high_vol_cluster_share,1000,30,30,30,30,-0.1876254180602011,-0.19008461538461544,-0.3797129319955407,-0.018617614269788196,0.032,True,False
