grid,speed_mult,info_lag,hft_frac,vol_ratio_mean,vol_ratio_std,spread_ratio_mean,spread_ratio_std,drawdown_mean,drawdown_std,recovery_mean,recovery_std,mm_panic_mean,mm_panic_std,n_runs
noisy_delay,1,5,0.2,2.187575707810017,0.816035031683468,2.543283475207653,1.2132300094494117,0.13858302220978252,0.03606787647712555,42.166666666666664,62.35166304965307,0.8992222222222223,0.19094578744245155,30
noisy_delay,1,5,0.3,2.0297387940633604,0.8920185633551764,2.3264991854988915,1.2088510102556211,0.14778409187750832,0.03755617190741439,35.86666666666667,45.716316662603106,0.8603333333333333,0.3217568511537366,30
noisy_delay,1,5,0.4,1.9840694190677743,0.9195276448745574,2.2193340317688786,1.1754608617367825,0.14110743794791888,0.04121493819998267,27.1,30.05208122920768,0.9694444444444444,0.08225781046116303,30
noisy_delay,1,5,0.5,2.3595957270151313,1.0114159727640428,2.593192880390119,1.2377499514881976,0.1660296763605305,0.05172426009288494,25.366666666666667,17.219642619811335,0.9782222222222222,0.06283673019467285,30
noisy_delay,1,5,0.6,2.12951342392397,1.3571976266385208,2.4691403422450775,1.5595387746221328,0.15715252355862935,0.05917014386624249,44.03333333333333,72.67143029835863,0.9862222222222222,0.028897139994682602,30
noisy_delay,1,5,0.7,2.436742118429193,1.4797370441253506,2.9020983309180486,1.9326561338706412,0.1366739355583916,0.04587742303794497,45.53333333333333,72.00705584839602,0.8871111111111111,0.25425683658998405,30
noisy_delay,1,5,0.8,2.4303986275171807,1.382189326172669,2.7093164454826613,1.539721107373856,0.1535194373521584,0.05598025572161223,39.4,61.03961404496772,0.9778888888888889,0.0919790219849771,30
noisy_delay,1,5,0.9,2.0791466286723512,1.1536592134072117,2.4555011156309465,1.549228284867565,0.13613386832328397,0.03821016412160749,36.833333333333336,58.30365419040236,0.9521111111111111,0.18239673682411872,30
noisy_delay,1,5,1.0,2.0116181096889436,0.7926718224858825,2.64497952508868,1.4428667178656946,0.12780464350925447,0.03265725290582366,39.833333333333336,71.80004962697994,0.8792222222222221,0.27725347453966515,30
noisy_delay,1,10,0.0,2.535192408323069,1.835082160308148,2.9440508949345014,2.6808947467629034,0.15939132065691888,0.047331852770678015,27.033333333333335,35.78333587630954,0.9410000000000001,0.16879593883004781,30
noisy_delay,1,10,0.1,2.114195542374574,1.1296428860737353,2.3857836921052384,1.2569009470354569,0.14299583554410988,0.043228271018485954,40.733333333333334,65.36103095741447,0.9706666666666667,0.057150738372760586,30
noisy_delay,1,10,0.2,2.1487053144619432,1.1956276018593752,2.2504892513866976,1.2180180502255085,0.14572946025703543,0.04443445545935228,47.86666666666667,59.7839404876417,0.9042222222222221,0.2465857794269189,30
noisy_delay,1,10,0.3,2.5524377089908312,1.1925342016119473,3.1128767136493485,1.6805839234285145,0.1286892644515292,0.0342585488759227,35.13333333333333,58.39091410977151,0.9317777777777778,0.1869143130118305,30
noisy_delay,1,10,0.4,2.2194542957173975,1.6274339182412012,2.3538422107428394,1.5312944806558784,0.1383772757067891,0.05108206753203189,28.3,51.38975478197697,0.943,0.12676750372236567,30
noisy_delay,1,10,0.5,2.5164058862396343,2.2868835279632793,3.01618728232265,3.563663303419178,0.1359609441607354,0.0465509070115205,29.933333333333334,52.93778608331009,0.9277777777777777,0.19439134469271815,30
noisy_delay,1,10,0.6,2.452956503036931,1.3427806637531594,2.8990471434108263,2.0181690198270568,0.14138165559074364,0.04171395087250944,35.1,53.042825898610886,0.9498888888888889,0.11021568312700322,30
noisy_delay,1,10,0.7,1.963749411772024,1.0880517230538895,2.1843654177695635,1.5429192263563838,0.13139765602757433,0.028383893582328096,39.266666666666666,73.97340311095665,0.9878888888888889,0.02618067687503015,30
noisy_delay,1,10,0.8,2.3363664014422594,1.5281220295133997,2.5427871653992113,1.924629106450436,0.15357854586472053,0.04839578034070299,24.066666666666666,19.52351956210647,0.9862222222222222,0.04302483763938307,30
noisy_delay,1,10,0.9,2.134598429650955,0.7951859424855233,2.465313893457499,1.1555282978609955,0.13490382868033243,0.03898558415170606,57.46666666666667,97.58311517786308,0.8738888888888888,0.2626582111558894,30
noisy_delay,1,10,1.0,1.8421238483320266,0.7532504582341482,2.1115135811619585,1.1760986608071062,0.13548989521442714,0.03931865221204647,28.2,31.564274873278208,0.9285555555555555,0.20513836715913286,30
