fast_share,front_running,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio,equity_gap
0.1,True,9,1.6400375816415165,1.489155742912112,0.12180052956751984,0.56,2.4346953192781586
0.1,True,10,1.4719470752495087,1.3288743493098345,0.12315789473684213,0.0,-0.03770789406369148
0.1,True,11,1.3902106497101392,1.820731230957628,0.11567164179104483,0.86,3.1521638625293504
0.1,True,12,1.1141558917096523,0.8029090376259649,0.11020408163265306,0.0,1.1468213467495982
0.1,True,13,1.1875359284266027,1.9636567649874266,0.110082304526749,0.0,-0.14617296408789493
0.1,True,14,1.2470816293977327,1.3296045583139227,0.12089201877934269,0.0,0.020198003336198866
0.1,True,15,1.2191557638475583,1.3409619427560977,0.10232067510548526,0.6866666666666666,-0.5395245738305403
0.1,True,16,1.5283269641239507,1.455420311598451,0.0871559633027523,0.0,0.25916477626531
0.1,True,17,1.4079215011984176,1.5701583609311605,0.10849539406345965,0.0,0.929041663687286
0.1,True,18,1.1971450868247737,1.8640421941457666,0.11122448979591842,0.0,0.039942028387564193
0.1,True,19,1.0612340204091248,1.5821792413584164,0.10323886639676116,0.0,0.3375600245530669
0.1,True,20,1.5119879648885033,1.8858548505387946,0.09855072463768119,0.6133333333333333,-10.326785415784785
0.1,True,21,1.1658883625420817,1.2775370829800923,0.1203980099502487,0.0,0.29060618941488775
0.1,True,22,1.153237797776857,1.544192177918103,0.09812108559498947,0.3566666666666667,-35.96621075728408
0.1,True,23,1.408840513279784,1.7205091163693724,0.21175278622087138,0.0,0.36541848789624193
0.1,True,24,1.899588254655752,3.6090098021727743,0.09278350515463918,0.0,-0.456329859051105
0.1,True,25,1.139562357178941,2.318044060824734,0.10810810810810817,0.23333333333333334,0.18781248277989976
0.1,True,26,1.3599254641460499,2.0993310297389653,0.10099009900990102,0.0,-0.19954534130467824
0.1,True,27,1.4356319959977315,1.273974174034901,0.12274368231046927,0.8266666666666667,0.1789948861612941
0.1,True,28,1.308436361651228,1.1905045998894845,0.1111111111111111,0.06333333333333334,0.35867076181805574
0.1,True,29,1.2803443875847749,1.6457712457155387,0.10202117420596735,0.87,-0.30014092314487706
0.2,True,0,1.541183801724345,2.0602136273613336,0.1188118811881188,0.0,-4.445237995986539
0.2,True,1,1.2584044415847564,1.7838876498346485,0.10542168674698796,0.92,0.32489632778405436
0.2,True,2,1.1238354606714052,1.4652521767827593,0.14380530973451328,1.0,0.2831626115570833
0.2,True,3,1.1673679893115982,1.5609122098930168,0.10084033613445376,0.0,0.45179204074014545
0.2,True,4,1.4530774688882173,2.3044049424053625,0.14440825190010856,0.0,-0.8068180324799695
0.2,True,5,0.9146594379672711,0.9365930006749456,0.10830618892508141,0.5766666666666667,1.9585341413941202
0.2,True,6,1.3494989185643382,1.6234626872999025,0.14006179196704424,0.0,-0.033675291287480195
0.2,True,7,1.0444429666828212,1.7543933969821506,0.10080645161290322,0.98,1.1282466605908477
0.2,True,8,1.7425685119011494,2.2414400621241297,0.08849557522123894,0.25666666666666665,1.1648480646070474
0.2,True,9,1.1016724165068008,1.1500567958931545,0.11020408163265304,0.0,0.28277918119473744
0.2,True,10,1.3830087363168875,1.5488589835448565,0.10373443983402489,0.0,-10.84368368486557
0.2,True,11,1.3969119528742988,1.953479010215696,0.1288461538461539,0.43333333333333335,-0.12218173712913212
0.2,True,12,1.409335971016392,2.3786961361621306,0.10040983606557374,0.0,-1.0966301464452943
0.2,True,13,1.5006485283326623,1.9808917311677796,0.10379241516966073,0.0,-0.08724942092488104
0.2,True,14,1.382221301951962,1.6030928873543262,0.15711645101663585,0.8766666666666667,0.5604299913499876
0.2,True,15,1.3493307708331315,1.3242724704784248,0.09683604985618403,0.0,0.4650406070891233
0.2,True,16,1.4015803775533326,1.509144469159662,0.14230019493177384,0.0,1.3243474312419456
0.2,True,17,1.2266729250274322,1.1798589102492065,0.0949667616334283,0.0,0.681332544001431
0.2,True,18,0.99155169198096,0.987298398671197,0.1849315068493151,0.0,-0.2647153527267221
0.2,True,19,1.181003765662902,1.2305095065434908,0.09728718428437796,0.0,1.498041093393283
0.2,True,20,1.5004970427473168,1.8990106518518577,0.11576626240352811,0.0,-0.03811443081052099
0.2,True,21,1.4401439171441364,1.690096809940963,0.10327706057596828,0.5166666666666667,0.3920849578085096
0.2,True,22,1.2273242103548305,1.2526010768409792,0.09075194468452895,0.5833333333333334,2.1408559435266508
0.2,True,23,1.5979311149100293,1.4775713218666078,0.10860215053763435,0.0,-0.12124777434910486
0.2,True,24,1.5944608816019283,1.610853635798514,0.10615711252653927,0.0,-3.4459696522975065
0.2,True,25,0.8619840116354689,0.9529691319228392,0.10843373493975905,0.0,0.46995723496824376
0.2,True,26,1.121809157615522,1.0403676141689615,0.09674134419551934,0.0,3.7295210886286343
0.2,True,27,1.4123295322162288,2.0508634190838424,0.12058823529411762,0.0,0.750154769872291
0.2,True,28,1.2030975640969714,1.1308202954078974,0.10259067357512959,0.0,-1.373297543449729
0.2,True,29,1.2103245319795441,1.103426931362522,0.127536231884058,0.0,0.2672031460171247
0.3,True,0,1.2717348184612398,1.3838691428226442,0.09692898272552791,0.16,0.7778984209319212
0.3,True,1,1.1365817706554373,1.2612867772346978,0.09980237154150205,0.0,1.9806515267618312
0.3,True,2,1.2395512272035174,1.2968693036286114,0.11902339776195324,0.0,-0.06504780235992055
