hft_frac,lag,run,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio
0.4,0,19,3.4002268108025677,2.9975578796230624,0.25933831376734257,21,1.0
0.4,0,20,2.681137208910707,3.3711837901101536,0.19254032258064524,22,1.0
0.4,0,21,1.8015765281017444,2.350072287702626,0.1645454545454545,9,1.0
0.4,0,22,0.8153315745568566,1.0752241182028213,0.11371841155234652,238,0.31
0.4,0,23,2.741506826360364,3.584400900807579,0.21094527363184082,98,0.9333333333333333
0.4,0,24,3.305336562245243,2.494506478544511,0.1917948717948718,34,0.97
0.4,0,25,5.382503218999609,6.566741524607916,0.13622902270483708,16,0.9433333333333334
0.4,0,26,0.8569504222174388,0.8961366992962123,0.14255319148936177,10,1.0
0.4,0,27,2.369610108234631,2.7249942026827827,0.13972055888223553,17,1.0
0.4,0,28,2.6630772714228623,3.7398905183403897,0.176056338028169,46,0.47333333333333333
0.4,0,29,1.7981870992056448,2.050312982547469,0.19695321001088148,50,1.0
0.5,0,0,2.3894347267724565,1.812194264165694,0.11612284069097896,18,0.8733333333333333
0.5,0,1,1.542751874452785,0.7813777550348905,0.3113284433577832,21,1.0
0.5,0,2,2.759820946307075,2.1892944064452755,0.16279069767441862,11,1.0
0.5,0,3,1.3511168056906662,1.1352194960908508,0.12218963831867058,22,1.0
0.5,0,4,2.501070465422051,1.7433761393494929,0.1658722592945663,12,0.6066666666666667
0.5,0,5,3.5213650325219485,4.128858120963195,0.1762162162162162,54,1.0
0.5,0,6,1.3532885733599245,1.627206418252751,0.20867959372114492,197,0.24333333333333335
0.5,0,7,1.1239320831052462,1.1101832075391858,0.1364468864468865,20,1.0
0.5,0,8,2.1789766603152625,3.040006124283654,0.1072961373390558,9,1.0
