hft_frac,run,diff_vol_ratio,diff_spread_ratio,diff_max_drawdown,diff_recovery_time,diff_mm_panic_ratio,diff_total_executed_volume,diff_post_volume,diff_volume_per_tick,diff_realized_vol_per_volume,diff_n_ticks
0.2,16,-0.6321707751955958,-0.34608704686118164,-0.029615184461890556,-161.0,0.0,17.0,-25.0,-0.22680550098231755,-0.00023617831388616579,9.0
0.2,17,-0.5627686002042571,-0.6682913651620861,-0.014662756598240484,-4.0,0.0,7.0,-3.0,-0.18829585798816595,-0.00010812470487484477,7.0
0.2,18,3.050178364881936,1.2527100854679265,0.042265135853393365,40.0,0.0,7.0,-40.0,0.8978983050847464,0.00022026441638328166,-28.0
0.2,19,0.5581115905555993,1.0847198091764452,0.05479452054794515,20.0,0.0,13.0,-14.0,-0.0023073852295407704,0.00022622403051141243,1.0
0.2,20,1.7794174078979643,1.102751360253937,0.07046142968635297,-7.0,0.0,3.0,-11.0,0.35224130879345594,0.0005285456331982924,-11.0
0.2,21,-0.001792007388645711,0.014133250945396192,-0.03054095264104137,-2.0,0.0,0.0,-15.0,0.0,8.237512994257231e-07,0.0
0.2,22,-0.6931492830986992,-0.4664822761182288,-0.02282752728667567,-9.0,0.0,0.0,-27.0,-0.1968284023668634,-7.162588570073163e-05,7.0
0.2,23,0.3168166167612616,-0.2004111589383335,-0.006659732454999873,-17.0,0.0,5.0,-14.0,0.42152577319587614,0.00010602120216616289,-15.0
0.2,24,-4.564129915099781,-5.417380641000368,-0.1578949145902425,0.0,0.0,7.0,-14.0,-1.7396453900709208,-0.0006506363893703086,64.0
0.2,25,1.4411562508016402,0.5209150805512746,0.041047795989005376,-5.0,0.0,10.0,-22.0,0.6370000000000005,0.00013767387795090425,-20.0
0.2,26,-0.9712106223714287,-0.6519033680409476,0.0015253653947640278,5.0,0.0,8.0,-22.0,-0.5680499040307101,-0.0002270577636793909,21.0
0.2,27,2.4310621116713405,11.33545176706717,0.039835070873921685,-2.0,0.0,19.0,-1.0,1.420782608695653,0.00015115951557881163,-40.0
0.2,28,1.760477918756832,1.0134121206192592,0.024934685723067465,-1.0,0.0,1.0,-12.0,2.2170804597701164,0.00043319468289644645,-65.0
0.2,29,-0.8274097586510445,-0.20312934608946076,-0.0972825150732128,5.0,0.0,8.0,-10.0,-0.5229230769230782,-0.0001883295551916971,20.0
0.2,30,-0.21218293463583138,-0.24220759109780365,-0.03823839236937879,-10.0,0.0,7.0,-14.0,0.04595991983967984,-0.00012582245633030708,-1.0
0.2,31,0.25546323718110964,-0.3209700491152241,0.013173150428947622,-13.0,0.0,6.0,-30.0,-0.04226294820717236,0.00012017864367623663,2.0
0.2,32,-1.4104920772018976,-1.3439008352942183,-0.10217099170101865,-40.0,0.0,10.0,-6.0,-0.036756972111554376,-0.0005356437944669457,2.0
0.2,33,-0.6370761126767122,-0.6077569954394135,0.0690346446925395,326.0,0.0,8.0,-25.0,-1.155373848987109,-0.00020556342626616426,43.0
0.2,34,-1.9236525689568054,-2.791377205963372,-0.018464627829998165,-10.0,0.0,4.0,-24.0,-1.1177190388170057,-0.0003104285789682829,41.0
0.2,35,-3.6652138698528223,-2.492488485725704,-0.15527667876658563,-12.0,0.0,13.0,-30.0,-1.6790780141843964,-0.0005853127166085633,64.0
