hft_frac,run,interaction_recovery_time,interaction_max_drawdown,interaction_stabilization_gap
0.4,126,10.0,0.29858445315393933,0.1844888780730514
0.4,127,12.0,-0.1887713251159726,-0.5267455885858177
0.4,128,-244.0,-0.25423857931853433,0.2203875157630778
0.4,129,-175.0,-0.03346103062444711,0.08837866244669712
0.4,130,52.0,0.17899477770751157,0.127627472399818
0.4,131,57.0,0.2627666421395385,0.4094101640730462
0.4,132,1.0,-0.3421754213325879,0.1193413513576009
0.4,133,13.0,-0.2051720239564436,-0.21501161961991233
0.4,134,176.0,-0.15624923261172322,-0.3427795699322504
0.4,135,185.0,0.2642180791439625,-0.1587616758421532
0.4,136,80.0,0.2152232219375581,0.3934676630944678
0.4,137,-46.0,-0.5225585030977246,-0.32774058506265613
0.4,138,26.0,-0.3849399435065217,-0.12316845646314109
0.4,139,-29.0,0.20622174582198224,-0.332370246057314
0.4,140,129.0,0.27358944353589915,0.707773642416229
0.4,141,-62.0,-0.08466343100114684,0.3444979585917412
0.4,142,-9.0,0.20848189308631276,-4.089008278018724e-05
0.4,143,-79.0,0.10277368324118627,0.2846714240237562
0.4,144,129.0,-0.09417855393077038,0.1346596251575018
0.4,145,14.0,0.5275798690795647,-0.007671634306052472
0.4,146,325.0,-0.2088998937759834,-0.029346117453086726
0.4,147,-170.0,-0.17864407338661575,-0.15988370613074016
0.4,148,318.0,0.0836377804784439,0.48150467857696855
0.4,149,-166.0,0.3992142550533334,-0.03419932933133479
0.4,150,37.0,0.2136348606651691,0.07706645432878381
0.4,151,-40.0,0.4792758276661347,0.1090169739820279
0.4,152,12.0,0.28085139424456484,-0.1020529229549157
0.4,153,90.0,0.2285694629444629,0.11175649187413922
0.4,154,-20.0,0.1833622490765348,0.1739221681793113
0.4,155,22.0,-0.23553326630234603,0.017222082504517705
0.4,156,-162.0,0.09023651094224198,-0.22233916153239927
0.4,157,28.0,0.005945754136788495,-0.2355622642556031
0.4,158,-146.0,0.518199355741275,0.39084585718433407
0.4,159,6.0,-0.24261584512905976,0.095704377071501
0.4,160,-2.0,0.634040617813673,0.1898467520995597
0.4,161,-59.0,-0.1180663606253404,-0.4995257475496921
0.4,162,28.0,0.29474106397053723,0.0728275702282533
0.4,163,-26.0,-0.14129608960564222,-0.11197468034784759
0.4,164,100.0,0.7189467830432313,0.30837155439173036
0.4,165,-69.0,0.13350754969826273,0.04660784472767761
0.4,166,-23.0,0.10947052542609423,0.6047723476824153
0.4,167,221.0,-0.2168143189985219,0.2887360673137834
0.4,168,-138.0,0.10541418878028128,0.1387684252334056
0.4,169,2.0,0.2677989522463652,-0.005761936334632003
0.4,170,-283.0,-0.14279423430931318,0.6021024206799128
0.4,171,39.0,0.6674091960392631,0.3747129270510148
0.4,172,2.0,-0.2165049813849866,0.16723005763822882
0.4,173,-16.0,-0.07932025981122226,-0.2002237101691639
0.4,174,277.0,0.22011612573884692,0.6916537591874217
0.4,175,46.0,0.15552294633061714,-0.11341848199334842
0.4,176,19.0,-0.32276466473705645,-0.2943841750256505
0.4,177,-7.0,-0.4392427490710467,0.1474746138298994
0.4,178,-3.0,-0.22679950667222845,-0.297240525851549
0.4,179,-13.0,-0.3631859998968007,0.02786119674479262
0.4,180,111.0,0.27137200124538674,0.5343211445524536
0.4,181,87.0,0.2669019790948873,0.0351663839784926
0.4,182,-123.0,0.047929904442141624,-0.08056007302693978
0.4,183,4.0,-0.32868973181722194,0.3787727596022332
0.4,184,-11.0,-0.19659894570141173,0.20680183186798368
0.4,185,-198.0,-0.07532031413954654,-0.37765418502277653
0.4,186,-29.0,-0.26816423904125164,-0.7525277297147123
0.4,187,-44.0,-0.09126988588179172,-0.5650031894072126
0.4,188,-20.0,-0.04083536589325518,-0.5466951816877379
0.4,189,-11.0,-0.3275118144530426,-0.020721269873806805
0.4,190,-22.0,0.1584693294751902,0.45392558721307125
0.4,191,8.0,0.47954774009353573,0.19954179678176834
0.4,192,-111.0,-0.04704892943849012,0.0020141629021170997
0.4,193,39.0,0.18582924288265795,-0.18626153555533742
0.4,194,-30.0,0.3077610709638126,-0.4382544304836674
0.4,195,-27.0,-0.18848251129725302,-0.8174031849870388
0.4,196,172.0,-0.02465140267143462,-0.045943874633903
0.4,197,265.0,0.30622611340003136,-0.7900829527068803
0.4,198,26.0,0.27641369600810706,-0.06326294469546759
0.4,199,26.0,0.448500200155479,-0.008780072882552989
