fast_share,softlimit,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio
0.1,10,19,1.6735723597214802,1.6484072322465768,0.09127382146439326,1.0
0.2,10,0,1.479576419574256,1.0482850060316684,0.09686346863468634,1.0
0.2,10,1,2.0176365847385704,2.292519980519548,0.14801444043321293,1.0
0.2,10,2,0.6775445368885262,0.6488796936210232,0.09015025041736224,1.0
0.2,10,3,1.1002605314940581,1.2615451897139693,0.11228813559322043,1.0
0.2,10,4,1.2677099562050926,1.3658941139137095,0.09738219895287956,1.0
0.2,10,5,1.1767174428064153,1.3425063949495781,0.11764705882352944,1.0
0.2,10,6,1.0554079134992196,1.212982794562855,0.11904761904761905,1.0
0.2,10,7,1.071846196170792,0.9379206642545602,0.10084033613445376,1.0
0.2,10,8,1.3409181516396553,1.226605933382182,0.11088709677419355,1.0
0.2,10,9,1.057971940772886,1.0583784784058492,0.1059957173447538,1.0
0.2,10,10,1.1784778829210898,1.1211598408741419,0.08493870402802103,1.0
0.2,10,11,1.0587976651201765,1.2269400228050498,0.1278118609406953,1.0
0.2,10,12,1.1934762667717354,1.232722427603156,0.10985277463193661,1.0
0.2,10,13,1.2647823265069635,1.3393487407100788,0.10107526881720436,1.0
0.2,10,14,0.9718138656026264,0.9076367567639914,0.10934182590233542,1.0
0.2,10,15,1.5055780719258955,1.090571872299698,0.09981684981684986,1.0
0.2,10,16,1.036193107383541,0.9797872952176723,0.10532150776053215,1.0
0.2,10,17,1.7331490295567014,1.399600482828618,0.12398190045248872,1.0
0.2,10,18,1.4099716758854774,1.2434032275632805,0.16030534351145037,1.0
0.2,10,19,1.4583303308015205,1.4179228351777238,0.110065851364064,1.0
0.3,10,0,0.903386200119873,0.9765396222234726,0.10242290748898676,1.0
0.3,10,1,1.0816224016313092,0.8593497256974006,0.11326860841423948,1.0
0.3,10,2,1.0407000571955434,1.0649013437578825,0.1278688524590164,1.0
0.3,10,3,1.0020942590959712,1.1016766269328357,0.09001956947162429,1.0
0.3,10,4,1.053863842707997,0.9851010709511983,0.10125361620057859,1.0
0.3,10,5,1.0360904333765735,0.8780433203950814,0.107177033492823,1.0
0.3,10,6,1.1304323585151135,0.9974117099876273,0.10067114093959732,1.0
0.3,10,7,0.9058209742591488,1.124648210395685,0.09363295880149813,1.0
0.3,10,8,1.1919529412631922,1.185939709003169,0.15192307692307688,1.0
0.3,10,9,0.9426684884470948,1.1474753154484147,0.10274669379450656,1.0
0.3,10,10,1.3679766533872706,1.3724570690605655,0.11477045908183632,1.0
0.3,10,11,1.4607152754214974,1.2603993679641077,0.09908998988877665,1.0
0.3,10,12,1.7070081095848932,1.5826371317152532,0.10416666666666667,1.0
0.3,10,13,0.9023119466147063,0.8727842720170851,0.15482695810564664,1.0
0.3,10,14,1.114528363863373,1.3514875729755629,0.13160250671441362,1.0
0.3,10,15,1.213098949874111,1.0616196243828364,0.1297872340425532,1.0
0.3,10,16,1.1904067826501308,1.109841340359132,0.10344827586206896,1.0
0.3,10,17,1.0009768101244545,1.020651704309247,0.10341261633919338,1.0
0.3,10,18,1.6866698983341626,1.7840991937202864,0.1073170731707317,1.0
