mode,run,seed,hft_frac,n_ticks,shock_tick,shock_dp,speed_multiplier,vstar_postshock,calendar_post_volume,total_executed_volume,total_executed_trades,post_rv,pre_rv,post_rv_per_volume,post_rv_per_trade,post_vol_per_sqrt_volume,equal_volume_vol_ratio,post_window_volume,pre_window_volume,post_window_trades,pre_window_trades,post_window_ticks,pre_window_ticks,target_post_volume,post_volume_error,calendar_style_vol_ratio,spread_ratio,mm_stress_ratio,avg_sub_iters,threshold_hit_rate,book_depleted_rate
event_time,22,2200231,0.0,500,200,-10,2,11.0,3243.0,9087.0,3125.0,0.13243422933939725,0.03128565662270478,4.0648934726641264e-05,0.00012296585825385075,0.0004789806055969226,4.233064919978727,3258.0,3258.0,1077.0,1168.0,178,183,3243.0,15.0,2.186322542068927,2.5549651980410744,0.0,1.584,1.0,0.0
calendar,23,2300231,0.0,500,200,-10,2,,3746.0,6107.0,2103.0,0.10306735430371881,0.02120595872537462,2.7565486574944854e-05,8.30518568120216e-05,0.0003040017348483226,3.0690480633420454,3739.0,2361.0,1241.0,859.0,299,200,3746.0,-7.0,2.148716896797907,2.3583338900684128,0.0,1.0,1.0,0.0
event_time,23,2300231,0.0,500,200,-10,2,12.0,3746.0,9316.0,3214.0,0.04330891760417469,0.04025109057344788,1.1545965770241186e-05,3.404789119825055e-05,0.00024147083210821987,1.0558893065512458,3751.0,3681.0,1272.0,1312.0,199,200,3746.0,5.0,1.2771987199805241,1.2812030846902314,0.0,1.624,1.0,0.0
calendar,24,2400231,0.0,500,200,-10,2,,4422.0,7834.0,2288.0,0.5172444248607222,0.07346234551058158,0.00011752884000470852,0.00039544680799749403,0.0006275434033989144,5.458692894759857,4401.0,3412.0,1308.0,974.0,299,200,4422.0,-21.0,2.5541006112365783,2.762069323324076,0.0,1.0,1.0,0.0
event_time,24,2400231,0.0,500,200,-10,2,15.0,4422.0,11047.0,3796.0,0.33554583336862337,0.03898549071145916,7.550536304424468e-05,0.00023967559526330242,0.000623207338474069,8.556584771380862,4444.0,4418.0,1400.0,1575.0,195,200,4422.0,22.0,2.555863081648696,2.7786218378575773,0.0,1.88,1.0,0.0
calendar,25,2500231,0.0,500,200,-10,2,,3989.0,6451.0,2088.0,0.2126331174722133,0.03387200025339529,5.343883324257686e-05,0.00016969921585970735,0.0004232403409091556,3.8842228653762327,3979.0,2462.0,1253.0,833.0,299,200,3989.0,-10.0,2.39201311015951,1.8471741045237073,0.0,1.0,1.0,0.0
event_time,25,2500231,0.0,500,200,-10,2,13.0,3989.0,10457.0,3361.0,0.989671165599076,0.0470529740003831,0.0002481000665828719,0.0008429907713791107,0.0011530352144392434,21.143853355631975,3989.0,4010.0,1174.0,1332.0,187,188,3989.0,0.0,4.037703843066222,3.377148671488938,0.0,1.542,1.0,0.0
calendar,26,2600231,0.0,500,200,-10,2,,4556.0,6899.0,2223.0,0.7951538454673581,0.028862622974366568,0.00017502836131793047,0.0005859645139774193,0.0007656911868732397,14.208390472406547,4543.0,2343.0,1357.0,862.0,299,200,4556.0,-13.0,4.629703857008658,5.328687888576919,0.0,1.0,1.0,0.0
event_time,26,2600231,0.0,500,200,-10,2,15.0,4556.0,10999.0,3839.0,0.024492272176721088,0.025693249779617056,5.3640543532021655e-06,1.6604930289302432e-05,0.0001620932945316047,0.9204795729513358,4566.0,4409.0,1475.0,1638.0,203,200,4556.0,10.0,1.6515930548388242,1.5216149481489023,0.0,1.84,1.0,0.0
calendar,27,2700231,0.0,500,200,-10,2,,4705.0,7444.0,2264.0,0.6563172736604137,0.026836542499270557,0.00013990988566625745,0.0004934716343311382,0.0006847504142345104,14.279527168549018,4691.0,2739.0,1330.0,929.0,299,200,4705.0,-14.0,6.949816939689384,6.8874450712003155,0.0,1.0,1.0,0.0
event_time,27,2700231,0.0,500,200,-10,2,16.0,4705.0,11826.0,4008.0,0.05370922617303511,0.024306193811535315,1.1379073341744728e-05,3.2729571098741687e-05,0.00023597968147733904,2.2078199443189406,4720.0,4716.0,1641.0,1603.0,204,197,4705.0,15.0,2.2873008430000263,2.1957897362754975,0.0,1.976,1.0,0.0
calendar,28,2800231,0.0,500,200,-10,2,,4193.0,6963.0,2192.0,0.25832276839253626,0.0919399951141048,6.19925050138076e-05,0.0001964431698802557,0.0004559614310510972,1.8677315949550939,4167.0,2770.0,1315.0,871.0,299,200,4193.0,-26.0,1.2355279169572069,1.3216569865291896,0.0,1.0,1.0,0.0
event_time,28,2800231,0.0,500,200,-10,2,14.0,4193.0,10784.0,3700.0,0.042097107600696126,0.02552870395086849,1.0015966595454705e-05,2.970861510282013e-05,0.0002285682370560503,1.6454794211661203,4203.0,4194.0,1417.0,1509.0,192,190,4193.0,10.0,1.9131874679109602,2.077075746207262,0.0,1.776,1.0,0.0
calendar,29,2900231,0.0,500,200,-10,2,,3596.0,6093.0,2056.0,0.07192554344219695,0.01879395028971271,2.0113407002851498e-05,6.248961202623541e-05,0.00025979387510310356,2.6723051747596114,3576.0,2497.0,1151.0,899.0,299,200,3596.0,-20.0,1.889873268967487,1.9555590765019797,0.0,1.0,1.0,0.0
event_time,29,2900231,0.0,500,200,-10,2,12.0,3596.0,9266.0,3437.0,0.0205342365625475,0.014947632244247262,5.699205262988482e-06,1.528982618209047e-05,0.0001672664304730925,1.3756511592949323,3603.0,3608.0,1343.0,1371.0,204,187,3596.0,7.0,2.21319374984671,2.6720943955888234,0.0,1.702,1.0,0.0
calendar,30,3000231,0.0,500,200,-10,2,,4091.0,6373.0,2061.0,0.31804684190748245,0.024667362074769963,7.833666056834543e-05,0.0002575278072125364,0.0005124805798683427,7.246994726775598,4060.0,2282.0,1235.0,819.0,299,200,4091.0,-31.0,2.7427829503492647,2.783115815171059,0.0,1.0,1.0,0.0
event_time,30,3000231,0.0,500,200,-10,2,14.0,4091.0,10500.0,3578.0,0.04252064589204661,0.05430481354810355,1.0386088395712411e-05,2.8984762025934977e-05,0.00022545119643477732,0.7841470474748568,4094.0,4100.0,1467.0,1244.0,205,182,4091.0,3.0,0.7184292898499596,0.6954855816563872,0.0,1.866,1.0,0.0
