fast_share,lag,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio
0.1,2,8,1.1604143243898517,1.2825083225362581,0.10695187165775401,1.0
0.1,2,9,1.9112143685210807,2.252149380282377,0.10416666666666667,0.74
0.1,2,10,1.0570868439669683,1.2631834804300017,0.09792284866468835,0.0
0.1,2,11,2.2345079854109873,2.1303766859033613,0.09613478691774036,0.9933333333333333
0.1,2,12,1.3890709051351913,1.952583152421056,0.10675381263616555,1.0
0.1,2,13,1.4003565023036602,1.4781005289555171,0.10675808031341814,1.0
0.1,2,14,1.2221981877442831,1.10298636093425,0.09969481180061035,0.77
0.1,2,15,1.3793127707930766,1.9546487017319694,0.09815950920245393,0.18
0.1,2,16,1.6445653709803072,2.3005219247873394,0.10636079249217938,0.91
0.1,2,17,1.0152624839535251,0.9888188554271992,0.10358565737051798,1.0
0.1,2,18,0.9781495512390597,0.9377380064412052,0.2193548387096774,0.0
0.1,2,19,0.9691825267332691,1.2434244351284998,0.10183299389002036,1.0
0.2,2,0,1.5105351842607644,1.9433663869571394,0.11668372569089054,0.8333333333333334
0.2,2,1,2.053066569628821,1.6369713179744398,0.08831400535236389,0.9133333333333333
0.2,2,2,1.3846003961921043,1.4210646083939185,0.13847583643122668,0.9733333333333334
0.2,2,3,1.7994942047975535,1.5496556397931782,0.14503042596348883,1.0
0.2,2,4,1.1079627537442978,1.0743616930143316,0.11759259259259262,1.0
0.2,2,5,1.1533028155257614,1.056865733326002,0.10604651162790703,1.0
0.2,2,6,1.0714568361666563,1.1198121835762966,0.09830866807610991,1.0
0.2,2,7,1.9374004329576389,2.428024388979288,0.10348258706467667,0.9266666666666666
0.2,2,8,1.4354323849905108,1.1213213311797379,0.10096153846153846,1.0
0.2,2,9,1.1335104840428234,1.2249516530533788,0.10721247563352827,1.0
0.2,2,10,0.9013600002502314,0.9030743886921644,0.10635964912280704,1.0
0.2,2,11,1.2924997241557266,1.5496678698789665,0.09940944881889759,0.96
0.2,2,12,1.5833368610469387,1.330452089479432,0.100418410041841,1.0
0.2,2,13,1.4975816693603368,1.48437979307668,0.09970089730807577,0.9466666666666667
0.2,2,14,1.5803925471090101,1.8450607714545872,0.1385365853658537,0.98
0.2,2,15,1.0210423028701936,1.152443408282811,0.08982035928143713,1.0
