hft_frac,info_lag,softlimit,metric,n_boot,n_base,n_delay,n_liquidity,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.4,5,20,high_vol_cluster_share,1000,30,30,30,30,-0.03221850613154953,-0.03110423634336677,-0.1847909698996657,0.126226309921962,0.72,False,False
0.4,5,20,vol_ratio,1000,30,30,30,30,-0.46314929870564736,-0.46730178430844466,-1.264397241440431,0.3367815482910466,0.238,False,False
0.4,5,50,acf_abs_ret_1,1000,30,30,30,30,-0.009308462677525886,-0.008983909641954821,-0.08018571995538709,0.06852086986931795,0.808,False,False
0.4,5,50,acf_abs_ret_5,1000,30,30,30,30,-0.019092164268523643,-0.020246069172194132,-0.09503993646660464,0.053791787350554406,0.612,False,False
0.4,5,50,vol_persistence,1000,30,30,30,30,0.0027503602621359313,0.002503607781793815,-0.005545800997843043,0.01037129311203302,0.56,False,True
0.4,5,50,high_vol_cluster_share,1000,30,30,30,30,-0.08684503901895202,-0.08427056856187289,-0.24385730211817172,0.08976867335562992,0.346,False,False
0.4,5,50,vol_ratio,1000,30,30,30,30,-0.5108823736181942,-0.49971324527613536,-1.4028911319639916,0.3482364668840536,0.258,False,False
0.4,10,20,acf_abs_ret_1,1000,30,30,30,30,-0.008795599996687609,-0.008730102118855306,-0.08151641076261404,0.06253617980959598,0.83,False,False
0.4,10,20,acf_abs_ret_5,1000,30,30,30,30,-0.0759100744817823,-0.07733221732792649,-0.14803146794283814,-0.008682802147945892,0.032,True,False
0.4,10,20,vol_persistence,1000,30,30,30,30,-0.002785527182225578,-0.0026353489704095162,-0.01109882138342341,0.005422919028939681,0.564,False,False
0.4,10,20,high_vol_cluster_share,1000,30,30,30,30,-0.05585284280936448,-0.057467001114827165,-0.22023968784838344,0.09711538461538463,0.466,False,False
0.4,10,20,vol_ratio,1000,30,30,30,30,-1.0558730807753798,-1.0691961143870017,-1.8523318412863123,-0.25902418131373794,0.012,True,False
0.4,10,50,acf_abs_ret_1,1000,30,30,30,30,-0.0005715328865081859,0.0010508342104636696,-0.07341060587286646,0.07852345133674898,0.984,False,False
0.4,10,50,acf_abs_ret_5,1000,30,30,30,30,-0.038275623813146975,-0.037184090181343735,-0.1049967724212217,0.03494520188291106,0.304,False,False
0.4,10,50,vol_persistence,1000,30,30,30,30,0.0004811062197536131,0.0005902668824166984,-0.007640102015324615,0.00896043124803037,0.914,False,True
0.4,10,50,high_vol_cluster_share,1000,30,30,30,30,-0.12731326644370122,-0.12627870680044592,-0.29354236343366763,0.04272017837235223,0.144,False,False
0.4,10,50,vol_ratio,1000,30,30,30,30,-1.197181442680984,-1.1978321428089347,-2.1373889314522576,-0.2808754848145471,0.014,True,False
0.6,1,20,acf_abs_ret_1,1000,30,30,30,30,-0.02936849648713097,-0.028690464201861124,-0.1096150379973027,0.05106793779670511,0.486,False,False
0.6,1,20,acf_abs_ret_5,1000,30,30,30,30,-0.02053147295713767,-0.020776822123821523,-0.08610325911807343,0.04117107515694736,0.546,False,False
0.6,1,20,vol_persistence,1000,30,30,30,30,-0.0014253442397762495,-0.0013763993320121731,-0.010580675479911714,0.007434987922588529,0.794,False,False
0.6,1,20,high_vol_cluster_share,1000,30,30,30,30,-0.03567447045707911,-0.03174202898550721,-0.17472686733556284,0.11986064659977697,0.66,False,False
0.6,1,20,vol_ratio,1000,30,30,30,30,-0.14609540517785025,-0.1352898741773862,-1.098287373507973,0.7564968675508307,0.79,False,False
0.6,1,50,acf_abs_ret_1,1000,30,30,30,30,-0.02370441138230822,-0.022610420062870777,-0.09626859054122491,0.04811485205112423,0.538,False,False
0.6,1,50,acf_abs_ret_5,1000,30,30,30,30,0.025252943460270322,0.02599140354811529,-0.03288389139322119,0.09113126989685832,0.418,False,True
0.6,1,50,vol_persistence,1000,30,30,30,30,0.001232341680617921,0.0012891741624631887,-0.007181591439997445,0.00943716976424959,0.774,False,True
0.6,1,50,high_vol_cluster_share,1000,30,30,30,30,-0.08963210702341123,-0.08814459308807131,-0.2691304347826086,0.09058249721293196,0.332,False,False
0.6,1,50,vol_ratio,1000,30,30,30,30,-0.37500548973007763,-0.3644796047892843,-1.310448537854,0.5468156792645174,0.48,False,False
0.6,3,20,acf_abs_ret_1,1000,30,30,30,30,-0.037642357883426514,-0.036982002530706735,-0.1107512157004465,0.03448435662036525,0.318,False,False
0.6,3,20,acf_abs_ret_5,1000,30,30,30,30,-0.03221831417126278,-0.03323511107454109,-0.09986124096416484,0.034965276161614156,0.318,False,False
0.6,3,20,vol_persistence,1000,30,30,30,30,0.0007506422375920252,0.0009526608379386257,-0.007544286020396196,0.00977840870141959,0.854,False,True
0.6,3,20,high_vol_cluster_share,1000,30,30,30,30,0.020624303232998853,0.017632218506131572,-0.13903567447045723,0.17659141583054636,0.85,False,True
