run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
41,41041320,0.4,1,300,2,100,500,200,-10,1.1748104531998742,1.442464834767309,0.10761421319796949,12,0.69,0.27595805332064877,0.08464988971438456,0.9163369542994101,0.22742474916387959
42,42041320,0.4,1,300,2,100,500,200,-10,4.069629680344627,5.720285843829812,0.19239130434782611,32,0.91,0.4051803303361739,0.057214634389181625,0.9693665469088741,0.7892976588628763
43,43041320,0.4,1,300,2,100,500,200,-10,2.2174150343809647,2.165965644379024,0.32015429122468664,17,1.0,0.5103231544335178,0.2376145382538785,0.9703200876432472,0.2909698996655518
44,44041320,0.4,1,300,2,100,500,200,-10,1.9366831620602074,1.7871177356842463,0.4430379746835443,196,1.0,0.3989990333731977,0.3353414162246409,0.9812998435262452,0.23745819397993312
45,45041320,0.4,1,300,2,100,500,200,-10,1.8224714978648477,1.7004331838243243,0.4963702359346643,5,1.0,0.48957178540707674,0.16797524313684267,0.9546151138602572,0.43478260869565216
46,46041320,0.4,1,300,2,100,500,200,-10,3.481213927274068,3.785410907257118,0.23563218390804605,129,1.0,0.4036966726844961,0.11284037378241604,0.966904500295425,0.6321070234113713
47,47041320,0.4,1,300,2,100,500,200,-10,4.923977029460427,8.59977062084273,0.20151679306608877,11,0.97,0.4068641305076909,0.08894046415804809,0.9633696590656559,0.9297658862876255
48,48041320,0.4,1,300,2,100,500,200,-10,5.344730456604344,7.700039468850427,0.38851022395326196,48,0.8233333333333334,0.39026445912038477,0.11768552777957453,0.9537606320589136,0.8762541806020067
49,49041320,0.4,1,300,2,100,500,200,-10,4.972828465369438,6.445393978292926,0.4740331491712707,4,1.0,0.3668763838206559,0.036338674389115505,0.9540475841171078,0.8595317725752508
50,50041320,0.4,1,300,2,100,500,200,-10,4.757797752093412,6.3078268747026485,0.3462578899909829,20,0.9666666666666667,0.45609605294745065,0.20594407598795067,0.9631276167735237,0.9130434782608695
51,51041320,0.4,1,300,2,100,500,200,-10,2.4707310100842954,1.7382335595950813,0.4238721804511279,8,1.0,0.4590300987765303,0.2565704230021598,0.9745528231901653,0.3879598662207358
52,52041320,0.4,1,300,2,100,500,200,-10,1.790224135589868,1.6864825565681891,0.25454545454545446,16,1.0,0.47919947639118465,0.2203099011410573,0.9374901695265588,0.32441471571906355
53,53041320,0.4,1,300,2,100,500,200,-10,3.2762141284318766,2.6826202613198684,0.4181818181818182,87,0.7933333333333333,0.3775855266269433,0.1301882513825643,0.9622434180842426,0.4682274247491639
54,54041320,0.4,1,300,2,100,500,200,-10,3.122626021473301,4.441026442907816,0.3613360323886639,15,1.0,0.5209301540820371,0.08959016926264106,0.9531871610791177,0.7290969899665551
55,55041320,0.4,1,300,2,100,500,200,-10,0.7301942353450984,0.873161221249364,0.6196957566052842,300,1.0,0.08139047410211318,0.1276867329051649,0.9762147982553953,0.06688963210702341
56,56041320,0.4,1,300,2,100,500,200,-10,0.48049087123731116,1.146129760570489,0.09749034749034743,3,1.0,0.3106656473592121,0.226054163048108,0.9715971119272351,0.0
57,57041320,0.4,1,300,2,100,500,200,-10,4.474514534520038,3.3074128918349093,0.43207126948775054,1,1.0,0.3704906965167937,0.15888327312219339,0.9703696095557964,0.6220735785953178
58,58041320,0.4,1,300,2,100,500,200,-10,0.8528944415534134,0.7171673338870165,0.5612244897959184,0,1.0,0.2729221134308179,0.14025929865479725,0.9465326405133467,0.13043478260869565
59,59041320,0.4,1,300,2,100,500,200,-10,0.17065969742403642,2.8889842396820846,0.19005196733481808,8,1.0,0.4608329537161191,0.0379837144587521,0.9625015899143564,0.03678929765886288
60,60041320,0.4,1,300,2,100,500,200,-10,1.292575938959035,1.1372047985472857,0.13373860182370823,67,1.0,0.4178036427372584,0.3817350543645308,0.9721317162229818,0.1605351170568562
61,61041320,0.4,1,300,2,100,500,200,-10,2.7472875959963496,2.2759955839032338,0.14488636363636362,1,1.0,0.4982038841054613,0.16955887109572296,0.9682354777011299,0.45819397993311034
62,62041320,0.4,1,300,2,100,500,200,-10,4.09812121305416,5.024376274353657,0.5199600798403193,300,1.0,0.5724975278979693,0.20312321307776518,0.9757566486543993,0.4916387959866221
63,63041320,0.4,1,300,2,100,500,200,-10,3.7343005463117214,4.811979528627365,0.3093525179856115,15,1.0,0.23951824892857604,0.09244224977920423,0.9497638433388116,0.7658862876254181
64,64041320,0.4,1,300,2,100,500,200,-10,1.5059543086445202,2.5003038397741544,0.7159763313609467,12,1.0,0.46317405383489346,0.36028268078623377,0.9802556780856033,0.2408026755852843
65,65041320,0.4,1,300,2,100,500,200,-10,1.9641736409979722,1.931123488248416,0.11488970588235295,10,1.0,0.23854062411058302,0.03449849066055805,0.9536730240505256,0.34782608695652173
66,66041320,0.4,1,300,2,100,500,200,-10,5.124550592229506,5.533206752255141,0.13067150635208716,11,0.97,0.17851904732003218,0.02330567367840738,0.9528225995803278,0.7658862876254181
67,67041320,0.4,1,300,2,100,500,200,-10,3.907312120762877,2.729376038689733,0.3508946322067594,9,1.0,0.37119893752269595,-0.008968116823883267,0.9652293962800639,0.5317725752508361
68,68041320,0.4,1,300,2,100,500,200,-10,2.250930109332478,1.6959235160683064,0.41932168550873583,26,1.0,0.48623462433807296,0.21377233835234194,0.9694751570215576,0.5117056856187291
69,69041320,0.4,1,300,2,100,500,200,-10,2.7242953663811464,2.0263336116813324,0.3463157894736842,3,1.0,0.40319970097730357,0.07484572234662037,0.9580576764250487,0.411371237458194
70,70041320,0.4,1,300,2,100,500,200,-10,4.463087402678604,4.465569128199562,0.3991507430997877,46,0.8866666666666667,0.6056502010418563,0.19153049763910826,0.9750377108100475,0.6789297658862876
71,71041320,0.4,1,300,2,100,500,200,-10,4.111077118630372,4.327899326908294,0.6026365348399246,6,1.0,0.37999543351783877,0.04925335071337475,0.9583262201769392,0.5785953177257525
72,72041320,0.4,1,300,2,100,500,200,-10,1.2741980254870935,1.2595160396887475,0.43170964660936006,10,1.0,0.5225271008043608,0.32556542873616007,0.9676942887345338,0.1605351170568562
73,73041320,0.4,1,300,2,100,500,200,-10,3.1576837598076923,2.25744696263093,0.15059445178335543,10,1.0,0.6479799651485644,-0.010820442324441985,0.972901523664457,0.6989966555183946
74,74041320,0.4,1,300,2,100,500,200,-10,2.388046823377443,3.5216705464673432,0.10372960372960363,1,1.0,0.40406688674581104,0.19782536408094664,0.9761570128233233,0.9464882943143813
75,75041320,0.4,1,300,2,100,500,200,-10,1.8888772278619355,2.439428717864328,0.6248830682881198,30,1.0,0.36685612770878306,0.028072980615558612,0.9546146436659475,0.22073578595317725
76,76041320,0.4,1,300,2,100,500,200,-10,1.4211527883506665,1.920787866913052,0.22187499999999996,101,0.44333333333333336,0.34096619193962263,0.20851078768832346,0.9715544029498119,0.411371237458194
77,77041320,0.4,1,300,2,100,500,200,-10,2.8353430696746074,2.776037729740143,0.475177304964539,123,1.0,0.3863858634170998,0.05799858036090838,0.9384729202003192,0.43812709030100333
78,78041320,0.4,1,300,2,100,500,200,-10,1.831681775343408,2.0463059092250373,0.22964509394572025,26,0.9533333333333334,0.5759229002584324,0.06803060812352744,0.9664441431810308,0.21739130434782608
79,79041320,0.4,1,300,2,100,500,200,-10,1.7432106979837367,4.948816575989977,0.17520661157024794,300,1.0,0.3865031850387335,0.3051545775931488,0.9823384054114673,0.34782608695652173
80,80041320,0.4,1,300,2,100,500,200,-10,2.3719429230482834,1.9667299070279152,0.04885654885654889,4,1.0,0.46392371838069096,0.12783644501579497,0.9700126805058775,0.391304347826087
81,81041320,0.4,1,300,2,100,500,200,-10,1.5704934987973695,2.356138016585406,0.3246628131021195,62,0.4266666666666667,0.49127717643455965,0.12825979363388573,0.9611122329133573,0.411371237458194
82,82041320,0.4,1,300,2,100,500,200,-10,1.5953644175410782,1.8075467484211245,0.18761904761904766,20,0.0,0.42238969656981107,0.17258102821859309,0.9553235840971007,0.2709030100334448
83,83041320,0.4,1,300,2,100,500,200,-10,2.772116329767742,4.631802906851693,0.41394927536231885,7,1.0,0.3488811875992658,0.093145124905775,0.9587801624893425,0.47491638795986624
84,84041320,0.4,1,300,2,100,500,200,-10,3.146669189934911,2.530592911438283,0.5326424870466321,36,1.0,0.37931295271174226,0.015973537736964787,0.9412274869839327,0.4983277591973244
85,85041320,0.4,1,300,2,100,500,200,-10,3.325707063135846,3.532927464932176,0.4608859566446748,81,1.0,0.41317645730247127,0.20897632352816572,0.9681797241239037,0.5752508361204013
86,86041320,0.4,1,300,2,100,500,200,-10,1.3384022815390098,1.5289739517103391,0.8142857142857143,16,1.0,0.403880623770603,0.20352407984144677,0.9545989205106598,0.1939799331103679
87,87041320,0.4,1,300,2,100,500,200,-10,3.150721231288616,4.557890577582255,0.25126135216952566,8,1.0,0.47617798122198074,0.21210695299645754,0.9683009261859907,0.6555183946488294
88,88041320,0.4,1,300,2,100,500,200,-10,3.430143163302318,3.543982416430971,0.5098241985522234,17,1.0,0.47118173068756775,0.4973170025171585,0.9759385951326781,0.38127090301003347
89,89041320,0.4,1,300,2,100,500,200,-10,3.020559892976279,3.0492515396516673,0.5618556701030928,31,1.0,0.3696600142501538,0.22981005532611581,0.9578581061549769,0.5150501672240803
90,90041320,0.4,1,300,2,100,500,200,-10,8.855953711579533,10.789819628792428,0.31338411316648535,9,1.0,0.46220282540234864,0.16733769788748418,0.9702248996440568,0.9230769230769231
91,91041320,0.4,1,300,2,100,500,200,-10,3.787283663079582,4.170707860622261,0.4940152339499456,13,1.0,0.49496773045109055,0.2125460429585904,0.9853960510158042,0.5785953177257525
92,92041320,0.4,1,300,2,100,500,200,-10,0.8470954481235097,1.6921981400318868,0.6119221411192215,300,1.0,0.5559841886927815,0.3216889781451311,0.9803271842338387,0.16387959866220736
93,93041320,0.4,1,300,2,100,500,200,-10,1.2786141575963121,1.4446592355974963,0.3366120218579235,31,1.0,0.4375306018177134,0.13532641865735137,0.9552740091758523,0.09364548494983277
94,94041320,0.4,1,300,2,100,500,200,-10,3.9124768855887266,3.9592194527177758,0.12440645773979102,29,0.9166666666666666,0.270901704968375,0.10452111034485691,0.9270641045501439,0.5819397993311036
95,95041320,0.4,1,300,2,100,500,200,-10,1.6346445694318699,1.7400833425734583,0.169811320754717,19,1.0,0.41753759473458185,0.15739702638459951,0.9618307033549564,0.3110367892976589
96,96041320,0.4,1,300,2,100,500,200,-10,4.794292378220146,5.543204114641374,0.1773547094188377,16,0.9533333333333334,0.32252354927012195,0.0446600977799784,0.9385003622936571,0.8561872909698997
97,97041320,0.4,1,300,2,100,500,200,-10,2.136876242017831,3.0683480319788363,0.16866267465069865,1,1.0,0.3220157552892986,0.23623236392136424,0.9715247229102854,0.5250836120401338
