grid,speed_mult,shock_dp,hft_frac,vol_ratio_mean,vol_ratio_std,spread_ratio_mean,spread_ratio_std,drawdown_mean,drawdown_std,recovery_mean,recovery_std,mm_panic_mean,mm_panic_std,n_runs
shock_magnitude,2,-1.0,0.2,1.8929335951261437,0.7815992537945626,2.0118252008086452,0.8736812882043045,0.1066881165427629,0.057505869341077515,10.1,54.75484547917449,0.9194444444444444,0.22552634618260828,30
shock_magnitude,2,-1.0,0.3,1.8434453737891674,0.8524298845469158,1.7589738963161539,0.9230898848104093,0.12299854999833769,0.07110005240769132,1.2,3.6426591272367745,0.9420000000000001,0.1955140586414102,30
shock_magnitude,2,-1.0,0.4,2.7772135174679464,1.672704012594479,3.180049394871829,2.55153591876875,0.10458013637402903,0.06907282520502336,0.4666666666666667,1.3829836145670416,0.928,0.13975238090762054,30
shock_magnitude,2,-1.0,0.5,2.1140329874650208,0.9770414826641302,2.2218960544942843,1.3072718028487025,0.12364972693837886,0.07213536109695486,1.0333333333333334,2.5795392977246436,0.9906666666666666,0.0358519732326455,30
shock_magnitude,2,-1.0,0.6,2.4818977525256334,1.7696170637619901,2.5162454907149954,1.6889478023309845,0.16006426235323065,0.08557251393549394,0.7,2.5481568727760586,0.9056666666666667,0.23340910099890874,30
shock_magnitude,2,-1.0,0.7,2.601208874808827,1.5187736588091325,2.8210455496412963,2.3101785751555113,0.22379629585269842,0.10974222448814863,8.866666666666667,38.451701306097405,0.9583333333333334,0.11653605167928151,30
shock_magnitude,2,-1.0,0.8,3.1203150292794795,2.056359215234672,3.088543252549037,2.333935184274419,0.17089827777541142,0.08206091615984236,0.26666666666666666,0.5832922809856745,0.9364444444444444,0.16447975182731447,30
shock_magnitude,2,-1.0,0.9,3.1726423944589763,1.8520398377147351,3.219029013287068,2.3197817063873316,0.2204507618103984,0.1272640815079755,1.3333333333333333,5.8388315631630014,0.9925555555555555,0.0252449051547189,30
shock_magnitude,2,-1.0,1.0,3.067228919486721,1.959031051382401,2.961220170891941,2.0502764813337757,0.23191276807389627,0.20848341980577248,9.166666666666666,47.7732310943629,0.9483333333333334,0.12191872803310709,30
shock_magnitude,2,-0.5,0.0,1.7262333963096832,0.6730773680388046,1.8720965274012742,0.8875063442977916,0.08216090136968655,0.04762081845223376,7.966666666666667,29.348657178155865,0.970111111111111,0.11934201256992487,30
