experiment,hft_frac,info_lag,liquidity_setting,metric,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point,p_holm,p_bh,significant_holm_5pct,significant_bh_5pct,metric_family,supports_original_h3,contradicts_original_h3
book_depth,0.2,3,book_volume=1000,acf_abs_ret_1,-0.0005456831352138,0.0012410424385174,-0.0728127264853917,0.0684759369594494,0.978,False,False,1.0,0.9980000000000001,False,False,core_clustering,False,False
book_depth,0.2,3,book_volume=1000,acf_abs_ret_5,-0.0326502730146045,-0.0295672777786995,-0.0986917664675696,0.0420323329372749,0.39,False,False,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.2,3,book_volume=1000,high_vol_cluster_share,-0.181828316610925,-0.1852128205128204,-0.3560089186176142,-0.0137068004459308,0.024,True,False,1.0,0.72,False,False,context,False,False
book_depth,0.2,3,book_volume=1000,vol_persistence,0.0002427734693465,0.000333031918247,-0.0088759343044326,0.0093667129801364,0.91,False,True,1.0,0.9789312977099237,False,False,core_clustering,False,False
book_depth,0.2,3,book_volume=1000,vol_ratio,-1.141108856203243,-1.1307271659842015,-2.261176779502571,-0.0890339894723998,0.034,True,False,1.0,0.72,False,False,context,False,False
book_depth,0.2,3,book_volume=300,acf_abs_ret_1,0.0320632222377209,0.0318215320454396,-0.0473065103259759,0.107019818709408,0.416,False,True,1.0,0.919103139013453,False,False,core_clustering,False,False
book_depth,0.2,3,book_volume=300,acf_abs_ret_5,0.0388458498375027,0.0374845021318949,-0.0348984588924561,0.1098706717859437,0.31,False,True,1.0,0.9024324324324324,False,False,core_clustering,False,False
book_depth,0.2,3,book_volume=300,high_vol_cluster_share,-0.1257525083612038,-0.1216918617614269,-0.2992363433667782,0.0493924191750278,0.168,False,False,1.0,0.7933333333333334,False,False,context,False,False
book_depth,0.2,3,book_volume=300,vol_persistence,0.0062988574625538,0.0062567041653464,-0.0020097927545043,0.0147847648151196,0.128,False,True,1.0,0.7785365853658536,False,False,core_clustering,False,False
book_depth,0.2,3,book_volume=300,vol_ratio,-0.6748504949003178,-0.6740662266551328,-1.7241428561153802,0.3078650666292051,0.208,False,False,1.0,0.8649504950495049,False,False,context,False,False
book_depth,0.2,3,book_volume=600,acf_abs_ret_1,0.0335318426061258,0.0328993052341187,-0.0484301560352131,0.1108276291616936,0.404,False,True,1.0,0.919103139013453,False,False,core_clustering,False,False
